userid,floorid,timestamp,acce_x,acce_y,acce_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602003,-0.09815979,0.7398071,9.940735
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602051,0.15083313,1.0654144,9.083603
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602089,0.23703003,1.0151367,9.952698
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602109,0.3280182,1.0271149,9.988617
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602128,0.28730774,0.91218567,10.014954
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602148,0.18675232,0.94810486,10.024536
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602166,0.15562439,0.9361267,9.732437
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602186,0.12689209,0.9169769,9.694138
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602206,0.0023956299,0.8523407,9.655823
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602228,0.05267334,0.84994507,9.686951
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602245,0.10774231,0.9073944,9.66301
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602264,0.05267334,0.93852234,9.8090515
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602285,0.04550171,0.8666992,9.840179
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602304,0.11732483,0.94810486,9.80426
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602326,0.03352356,0.9816284,9.82341
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602344,-0.0622406,0.84036255,10.014954
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602364,-0.07661438,0.7733307,9.979034
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602383,0.03352356,0.7757263,9.713287
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602402,0.01676941,0.802063,9.64624
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602422,0.39265442,1.0869598,9.770752
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602442,0.31843567,1.0486603,9.974258
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602462,-0.10055542,0.9505005,9.967072
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602481,-0.14604187,0.8571167,9.979034
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602501,-0.10055542,0.6967163,9.797073
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602521,-0.32081604,0.6009369,9.603149
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602541,-0.31123352,0.65600586,9.622299
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602560,-0.375885,0.6799469,9.8090515
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602580,0.02633667,1.1037292,9.873688
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602600,0.13647461,0.8666992,10.036499
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602620,0.0287323,0.83078,10.055649
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602640,0.02394104,0.89782715,9.765961
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602661,0.10055542,0.92655945,9.713287
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602678,-0.011962891,0.964859,9.667801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602698,0.1723938,1.0558472,9.3541565
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602718,0.04071045,0.9528961,9.416397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602738,-0.004776001,0.73501587,9.852142
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602757,0.09577942,0.7374115,10.007767
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602779,0.31843567,0.8523407,9.988617
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602796,0.37590027,1.0582428,9.8090515
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602816,0.014373779,1.1132965,9.624695
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602838,-0.22744751,1.1923065,9.660614
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602856,-0.5793915,1.0534515,9.6510315
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602875,-0.9576721,0.61291504,9.765961
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602895,-0.9217682,0.38067627,10.1609955
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602915,-0.6584015,0.18914795,10.438721
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602935,-0.2681427,0.39265442,10.29747
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602954,0.21308899,0.7398071,10.029312
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602974,0.35195923,0.82839966,9.639069
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058602995,0.33518982,0.89064026,9.6510315
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603014,0.15083313,0.8738861,9.691742
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603034,-0.03829956,0.83317566,9.734833
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603054,-0.27053833,0.8427582,9.586395
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603074,-0.25378418,0.81881714,9.6510315
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603093,-0.31123352,0.7757263,9.859329
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603113,-0.44052124,0.5698242,10.0221405
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603132,-0.4046173,0.45010376,10.134659
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603152,-0.34954834,0.42855835,9.916794
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603172,-0.2896881,0.53630066,9.859329
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603192,0.06225586,0.7014923,9.713287
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603211,0.03831482,0.82121277,9.569626
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603231,-0.05984497,0.7685394,9.787506
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603251,-0.0335083,0.79008484,9.892853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603271,0.11732483,0.8714905,9.7061
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603290,-0.004776001,0.91937256,9.792297
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603310,-0.24899292,0.6871338,10.036499
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603330,-0.22026062,0.60572815,10.072418
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603349,-0.20828247,0.6248779,9.9431305
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603369,-0.13166809,0.6584015,9.698914
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603388,-0.34236145,0.5961609,9.832993
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603408,-0.4333496,0.54348755,9.907211
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603428,-0.40222168,0.6464386,9.576813
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603447,-0.29927063,0.75416565,9.557663
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520058603467,-0.22744751,0.7876892,9.543289
