X(m),Y(m)
49.800, 1.950
49.784, 2.751
49.795, 3.559
49.798, 4.317
49.800, 5.129
49.800, 5.915
49.805, 6.746
49.796, 7.514
49.800, 8.323
49.807, 9.090
49.799, 9.895
49.794, 10.706
49.003, 10.691
48.183, 10.712
47.350, 10.717
46.565, 10.701
45.746, 10.702
44.930, 10.715
44.131, 10.702
43.306, 10.698
42.519, 10.714
41.699, 10.689
40.886, 10.701
40.070, 10.703
39.278, 10.693
38.440, 10.721
37.633, 10.701
36.834, 10.697
36.019, 10.702
35.224, 10.695
34.419, 10.713
33.598, 10.702
32.799, 10.702
31.996, 10.716
31.168, 10.725
30.360, 10.694
29.541, 10.723
28.717, 10.723
27.930, 10.713
27.143, 10.696
26.311, 10.710
25.504, 10.701
24.670, 10.712
23.873, 10.696
23.068, 10.698
22.270, 10.702
21.440, 10.708
20.636, 10.701
19.847, 10.695
19.038, 10.711
18.200, 10.703
17.398, 10.703
16.577, 10.696
15.751, 10.709
14.986, 10.701
14.158, 10.721
13.342, 10.706
12.527, 10.710
11.733, 10.710
10.915, 10.703
10.112, 10.708
9.315, 10.719
8.462, 10.709
7.684, 10.711
6.881, 10.698
6.076, 10.707
5.261, 10.699
4.435, 10.723
3.614, 10.703
2.853, 10.702
2.005, 10.717
1.207, 10.707
1.215, 11.492
1.214, 12.277
1.200, 13.042
1.207, 13.840
1.207, 14.636
1.201, 15.420
1.186, 16.216
1.211, 16.968
1.182, 17.766
1.194, 18.544
1.194, 19.346
1.228, 20.123
1.181, 20.891
1.216, 21.702
1.207, 22.494
1.213, 23.242
1.218, 24.025
1.192, 24.825
1.211, 25.628
1.206, 26.414
1.203, 27.167
1.208, 27.945
1.202, 28.744
1.220, 29.535
1.201, 30.318
1.202, 31.119
1.200, 31.898
1.215, 32.669
1.211, 33.458
1.220, 34.256
1.215, 35.035
1.217, 35.806
1.218, 36.587
1.213, 37.377
1.190, 38.126
1.217, 38.937
1.201, 39.709
1.192, 40.514
1.208, 41.291
1.248, 41.291
1.245, 40.488
1.253, 39.701
1.233, 38.911
1.251, 38.138
1.256, 37.363
1.262, 36.580
1.264, 35.800
1.235, 34.992
1.253, 34.219
1.248, 33.451
1.248, 32.648
1.254, 31.894
1.248, 31.081
1.253, 30.316
1.242, 29.530
1.253, 28.746
1.253, 27.942
1.235, 27.179
1.270, 26.414
1.247, 25.598
1.252, 24.826
1.249, 24.035
1.254, 23.254
1.236, 22.452
1.240, 21.671
1.242, 20.889
1.256, 20.122
1.245, 19.318
1.252, 18.545
1.269, 17.735
1.250, 16.991
1.257, 16.203
1.256, 15.407
1.252, 14.605
1.244, 13.823
1.240, 13.041
1.241, 12.265
1.255, 11.494
1.247, 10.682
2.061, 10.683
2.881, 10.682
3.677, 10.702
4.473, 10.669
5.296, 10.679
6.104, 10.688
6.918, 10.671
7.727, 10.684
8.520, 10.672
9.350, 10.668
10.165, 10.663
10.949, 10.680
11.776, 10.682
12.585, 10.689
13.392, 10.668
14.200, 10.679
15.018, 10.695
15.826, 10.691
16.628, 10.678
17.439, 10.683
18.249, 10.671
19.033, 10.690
19.870, 10.661
20.669, 10.681
21.459, 10.672
22.309, 10.674
23.087, 10.656
23.888, 10.681
24.741, 10.686
25.532, 10.693
26.342, 10.700
27.149, 10.682
27.931, 10.680
28.772, 10.698
29.579, 10.670
30.367, 10.671
31.185, 10.696
32.015, 10.684
32.771, 10.683
33.590, 10.679
34.409, 10.670
35.233, 10.683
36.043, 10.676
36.842, 10.685
37.668, 10.678
38.465, 10.686
39.275, 10.681
40.068, 10.687
40.885, 10.693
41.728, 10.677
42.510, 10.685
43.331, 10.692
44.149, 10.679
44.952, 10.688
45.777, 10.679
46.558, 10.676
47.374, 10.672
48.178, 10.682
48.995, 10.671
49.793, 10.698
49.798, 9.918
49.797, 9.100
49.785, 8.309
49.798, 7.529
49.800, 6.707
49.805, 5.938
49.798, 5.126
49.795, 4.341
49.802, 3.534
49.808, 2.739
49.804, 1.937

