X(m),Y(m)
49.800, 1.950
49.803, 2.748
49.804, 3.544
49.806, 4.353
49.817, 5.127
49.788, 5.918
49.799, 6.723
49.807, 7.524
49.804, 8.328
49.791, 9.121
49.820, 9.911
49.795, 10.691
49.028, 10.710
48.249, 10.704
47.492, 10.689
46.730, 10.693
45.924, 10.697
45.153, 10.672
44.401, 10.690
43.639, 10.677
42.825, 10.684
42.080, 10.685
41.303, 10.688
40.505, 10.688
39.763, 10.670
39.000, 10.677
38.241, 10.692
37.472, 10.700
36.668, 10.694
35.907, 10.693
35.137, 10.688
34.358, 10.702
33.603, 10.689
32.829, 10.707
32.051, 10.696
31.285, 10.687
30.525, 10.682
29.727, 10.688
28.966, 10.681
28.176, 10.683
27.430, 10.705
26.654, 10.690
25.876, 10.698
25.117, 10.677
24.324, 10.702
23.559, 10.695
22.792, 10.691
22.021, 10.702
21.243, 10.694
20.505, 10.685
19.713, 10.693
18.944, 10.683
18.175, 10.691
17.406, 10.685
16.622, 10.680
15.852, 10.693
15.098, 10.686
14.327, 10.689
13.543, 10.688
12.796, 10.702
12.005, 10.689
11.231, 10.688
10.458, 10.695
9.669, 10.695
8.934, 10.684
8.143, 10.701
7.367, 10.679
6.595, 10.687
5.825, 10.700
5.068, 10.689
4.289, 10.710
3.501, 10.696
2.741, 10.729
1.948, 10.657
1.194, 10.686
1.175, 11.457
1.191, 12.209
1.191, 12.973
1.193, 13.760
1.182, 14.518
1.200, 15.274
1.193, 16.039
1.191, 16.790
1.194, 17.575
1.190, 18.367
1.215, 19.114
1.194, 19.874
1.208, 20.640
1.187, 21.414
1.173, 22.159
1.197, 22.937
1.180, 23.718
1.186, 24.451
1.180, 25.219
1.187, 25.993
1.198, 26.740
1.196, 27.520
1.189, 28.295
1.189, 29.053
1.197, 29.816
1.199, 30.593
1.196, 31.373
1.193, 32.108
1.187, 32.885
1.212, 33.651
1.206, 34.398
1.201, 35.183
1.204, 35.961
1.199, 36.731
1.199, 37.477
1.203, 38.239
1.202, 39.014
1.175, 39.761
1.177, 40.547
1.182, 41.325
1.212, 41.325
1.207, 40.579
1.225, 39.826
1.200, 39.096
1.200, 38.327
1.184, 37.591
1.214, 36.825
1.210, 36.095
1.211, 35.348
1.212, 34.610
1.209, 33.835
1.204, 33.101
1.208, 32.378
1.205, 31.614
1.215, 30.855
1.220, 30.119
1.215, 29.370
1.220, 28.642
1.218, 27.866
1.231, 27.126
1.219, 26.396
1.204, 25.649
1.219, 24.915
1.198, 24.140
1.226, 23.392
1.188, 22.664
1.214, 21.891
1.209, 21.173
1.194, 20.407
1.215, 19.661
1.233, 18.931
1.215, 18.151
1.219, 17.437
1.214, 16.682
1.209, 15.950
1.218, 15.174
1.214, 14.439
1.214, 13.711
1.209, 12.949
1.191, 12.174
1.202, 11.449
1.223, 10.684
2.021, 10.695
2.793, 10.675
3.586, 10.693
4.368, 10.670
5.155, 10.688
5.949, 10.682
6.715, 10.670
7.476, 10.665
8.289, 10.686
9.071, 10.683
9.839, 10.681
10.641, 10.673
11.418, 10.678
12.176, 10.685
12.956, 10.694
13.767, 10.676
14.549, 10.663
15.333, 10.685
16.107, 10.678
16.869, 10.676
17.666, 10.686
18.454, 10.685
19.222, 10.685
20.042, 10.691
20.812, 10.669
21.594, 10.669
22.378, 10.677
23.166, 10.673
23.951, 10.694
24.699, 10.679
25.515, 10.688
26.267, 10.682
27.088, 10.680
27.877, 10.686
28.641, 10.681
29.428, 10.682
30.214, 10.688
30.975, 10.670
31.777, 10.692
32.553, 10.680
33.359, 10.686
34.133, 10.684
34.934, 10.681
35.704, 10.711
36.484, 10.710
37.250, 10.684
38.073, 10.677
38.830, 10.680
39.651, 10.686
40.412, 10.691
41.187, 10.663
41.960, 10.684
42.759, 10.713
43.525, 10.677
44.322, 10.675
45.112, 10.686
45.876, 10.679
46.647, 10.677
47.431, 10.666
48.239, 10.673
48.990, 10.674
49.784, 10.685
49.797, 9.967
49.781, 9.229
49.800, 8.489
49.792, 7.778
49.796, 7.062
49.799, 6.299
49.782, 5.599
49.776, 4.856
49.785, 4.158
49.799, 3.426
49.766, 2.681
49.790, 1.948
