userid,floorid,timestamp,magn_x,magn_y,magn_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022784,-7.5561523,-8.493042,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022804,-8.906555,-9.242249,-44.2688
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022824,-8.155823,-9.992981,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022845,-8.305359,-8.343506,-42.619324
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022865,-9.056091,-7.5927734,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022885,-9.056091,-8.343506,-43.818665
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022905,-7.5561523,-7.8933716,-43.969727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022925,-7.255554,-8.343506,-45.318604
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022945,-9.205627,-7.8933716,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022965,-7.8567505,-8.943176,-42.469788
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059022986,-7.5561523,-8.192444,-43.519592
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023006,-7.106018,-8.493042,-42.76886
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023026,-6.956482,-8.042908,-42.619324
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023046,-8.906555,-7.142639,-43.218994
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023066,-8.305359,-8.343506,-44.569397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023086,-6.956482,-7.5927734,-46.069336
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023106,-7.5561523,-7.8933716,-43.218994
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023126,-6.956482,-7.2921753,-44.569397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023146,-8.755493,-8.343506,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023167,-7.7056885,-7.5927734,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023187,-6.3568115,-6.692505,-42.469788
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023207,-8.155823,-5.6427,-43.969727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023227,-6.0562134,-7.142639,-44.2688
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023248,-9.056091,-6.5429688,-44.119263
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023267,-8.006287,-8.042908,-43.36853
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520059023287,-7.5561523,-5.6427,-43.519592
