EX(m),EY(m)
49.8,1.95
49.854,2.687
49.853,3.426
49.838,4.164
49.831,4.903
49.841,5.642
49.864,6.38
49.861,7.119
49.843,7.857
49.803,8.595
49.775,9.333
49.723,10.07
49.629,10.803
49.162,11.375
48.441,11.537
47.702,11.551
46.963,11.541
46.225,11.52
45.486,11.533
44.748,11.556
44.009,11.581
43.271,11.592
42.532,11.61
41.794,11.625
41.056,11.666
40.317,11.682
39.579,11.695
38.84,11.699
38.101,11.694
37.362,11.696
36.624,11.697
35.885,11.704
35.146,11.702
34.407,11.708
33.669,11.714
32.93,11.721
32.191,11.742
31.453,11.724
30.714,11.734
29.975,11.727
29.237,11.734
28.498,11.751
27.759,11.768
27.021,11.797
26.284,11.844
25.546,11.88
24.808,11.914
24.07,11.889
23.332,11.847
22.594,11.809
21.858,11.748
21.12,11.713
20.381,11.71
19.643,11.685
18.904,11.675
18.166,11.665
17.427,11.662
16.688,11.673
15.949,11.678
15.211,11.667
14.472,11.665
13.733,11.672
12.995,11.649
12.258,11.597
11.521,11.546
10.784,11.492
10.046,11.456
9.308,11.419
8.571,11.366
7.837,11.286
7.103,11.2
6.37,11.113
5.634,11.042
4.899,10.969
4.16,10.962
3.451,11.167
3.127,11.831
2.981,12.556
2.937,13.293
2.89,14.03
2.861,14.768
2.813,15.506
2.77,16.243
2.736,16.981
2.709,17.719
2.663,18.457
2.636,19.195
2.56,19.93
2.476,20.664
2.385,21.397
2.303,22.131
2.197,22.862
2.106,23.596
2.023,24.33
1.953,25.065
1.859,25.798
1.765,26.531
1.672,27.264
1.586,27.997
1.512,28.732
1.44,29.468
1.364,30.202
1.309,30.939
1.257,31.676
1.191,32.412
1.107,33.146
1.016,33.879
0.892,34.607
0.782,35.338
0.667,36.068
0.591,36.803
0.526,37.538
0.426,38.27
0.302,38.999
0.222,39.733
0.34,40.462
0.96,40.865
1.694,40.949
2.07,40.313
2.167,39.581
2.129,38.843
2.115,38.105
2.059,37.368
1.984,36.633
1.89,35.9
1.803,35.167
1.709,34.434
1.643,33.698
1.582,32.962
1.524,32.225
1.437,31.492
1.38,30.755
1.324,30.018
1.264,29.282
1.203,28.546
1.152,27.809
1.085,27.073
1.037,26.336
0.966,25.601
0.929,24.863
0.882,24.126
0.828,23.389
0.771,22.652
0.721,21.915
0.683,21.177
0.659,20.439
0.612,19.702
0.586,18.963
0.537,18.226
0.524,17.487
0.523,16.749
0.539,16.01
0.542,15.271
0.567,14.533
0.562,13.794
0.561,13.055
0.59,12.317
0.97,11.684
1.705,11.611
2.443,11.567
3.179,11.509
3.918,11.481
4.654,11.416
5.39,11.354
6.127,11.304
6.865,11.275
7.603,11.24
8.34,11.194
9.078,11.146
9.816,11.129
10.554,11.094
11.292,11.05
12.028,10.992
12.765,10.948
13.503,10.905
14.241,10.868
14.979,10.837
15.718,10.825
16.455,10.779
17.192,10.732
17.929,10.677
18.666,10.633
19.401,10.555
20.139,10.525
20.878,10.501
21.615,10.455
22.351,10.394
23.088,10.334
23.822,10.254
24.555,10.165
25.29,10.089
26.027,10.028
26.762,9.958
27.497,9.884
28.232,9.811
28.969,9.751
29.704,9.682
30.441,9.627
31.177,9.568
31.914,9.517
32.652,9.487
33.391,9.459
34.128,9.421
34.866,9.372
35.602,9.313
36.339,9.265
37.077,9.224
37.815,9.189
38.552,9.142
39.29,9.118
40.028,9.076
40.766,9.041
41.502,8.979
42.24,8.943
42.978,8.924
43.717,8.921
44.456,8.903
45.195,8.909
45.932,8.865
46.602,8.554
46.873,7.867
46.879,7.128
46.821,6.392
46.793,5.654
46.763,4.915
46.725,4.178
46.674,3.441
46.65,2.702
46.637,1.964
46.641,1.225
46.632,0.486
46.586,-0.251
