Error(m)
0.0
0.044
0.099
0.095
0.15
0.177
0.253
0.287
0.336
0.333
0.373
0.458
0.156
0.102
0.099
0.122
0.208
0.275
0.37
0.461
0.499
0.602
0.689
0.769
0.872
0.967
1.085
1.187
1.29
1.381
1.466
1.565
1.657
1.713
1.83
1.952
1.999
2.048
2.065
2.09
2.159
2.237
2.321
2.406
2.472
2.526
2.603
2.67
2.726
2.769
2.86
2.914
3.012
3.08
3.122
3.181
3.274
3.331
3.386
3.455
3.535
3.58
3.701
3.755
3.864
3.919
4.001
4.048
4.117
4.124
4.263
4.616
4.387
4.347
4.38
4.36
4.376
4.385
4.39
4.361
4.347
4.299
4.269
4.25
4.295
4.246
4.233
4.232
4.217
4.202
4.176
4.162
4.176
4.154
4.127
4.079
4.055
3.996
3.97
3.914
3.879
3.794
3.747
3.708
3.654
3.587
3.605
3.53
3.537
3.522
3.647
4.262
4.465
4.513
4.537
4.519
4.499
4.509
4.518
4.567
4.559
4.578
4.61
4.614
4.653
4.656
4.689
4.732
4.781
4.815
4.781
4.84
4.838
4.894
4.913
4.943
4.938
4.94
4.917
4.953
4.949
4.97
4.974
5.013
5.036
5.09
5.108
5.135
5.125
5.211
5.909
5.815
5.722
5.662
5.631
5.553
5.49
5.46
5.393
5.371
5.314
5.265
5.206
5.138
5.073
5.03
4.954
4.87
4.818
4.785
4.712
4.643
4.573
4.516
4.441
4.417
4.334
4.326
4.277
4.205
4.163
4.127
4.086
4.059
3.964
3.915
3.853
3.77
3.721
3.721
3.658
3.588
3.483
3.439
3.384
3.322
3.254
3.203
3.156
3.102
3.009
2.954
2.839
2.749
2.663
2.589
2.541
2.462
2.292
1.794
0.859
0.898
0.907
0.903
0.869
0.889
0.868
0.885
0.865
0.866
0.887
0.935
