Error(m)
0.0
0.071
0.101
0.139
0.198
0.228
0.28
0.352
0.379
0.43
0.495
0.555
0.231
0.155
0.194
0.212
0.224
0.0
0.045
0.095
0.168
0.214
0.259
0.3
0.376
0.411
0.445
0.508
0.619
0.679
0.764
0.832
0.906
1.006
1.056
1.136
1.147
1.188
1.251
1.327
1.372
1.408
1.482
1.515
1.612
1.68
1.744
1.825
1.868
1.93
2.039
2.102
2.206
2.288
2.363
2.429
2.538
2.591
2.637
2.702
2.75
2.805
2.881
2.927
2.986
3.039
3.095
3.13
3.224
3.25
3.31
3.33
3.415
3.709
3.5
3.39
3.365
0.0
0.082
0.125
0.184
0.189
0.218
0.197
0.262
0.295
0.305
0.353
0.405
0.444
0.448
0.446
0.463
0.467
0.461
0.447
0.437
0.409
0.444
0.442
0.471
0.463
0.471
0.449
0.495
0.511
0.48
0.529
0.576
0.546
0.568
0.597
0.607
0.762
1.104
1.356
1.271
1.236
1.209
1.177
1.148
1.161
1.112
1.122
1.136
1.133
1.108
1.099
1.122
1.141
1.142
1.195
1.211
1.211
1.155
1.16
1.171
1.173
1.189
1.165
1.137
1.136
1.128
1.132
1.135
1.188
1.221
1.249
1.277
1.317
1.325
1.315
1.339
1.366
1.466
0.0
0.15
0.173
0.238
0.269
0.342
0.348
0.394
0.466
0.478
0.496
0.516
0.548
0.584
0.64
0.7
0.748
0.812
0.846
0.867
0.914
0.956
0.989
1.083
1.112
1.158
1.216
1.244
1.246
1.321
1.386
1.431
1.491
1.545
1.582
1.627
1.672
1.7
1.749
1.829
1.875
1.897
1.937
1.971
1.998
2.006
2.061
2.126
2.161
2.2
2.226
2.277
2.307
2.355
2.38
2.455
2.518
2.598
2.643
2.708
2.755
2.905
2.524
2.477
0.0
0.035
0.017
0.03
0.057
0.081
0.089
0.111
0.178
0.151
