segid,coordx,coordy,wifiinfos
seg18,31.475,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-62.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-48.0;10:9f:a9:2d:e3:59|-61.0;d4:94:e8:02:27:60|-66.0;d4:94:e8:21:6a:a0|-65.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-33.0;d4:94:e8:1e:8d:30|-46.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-44.0;d4:94:e8:1e:8d:10|-47.0
seg18,27.492,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-56.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-81.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-49.0;10:9f:a9:2d:e3:59|-64.0;d4:94:e8:02:27:60|-58.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-32.0;d4:94:e8:1e:8d:30|-40.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-45.0
seg18,26.695,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-56.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-81.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-49.0;10:9f:a9:2d:e3:59|-64.0;d4:94:e8:02:27:60|-58.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-31.0;d4:94:e8:1e:8d:30|-40.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-45.0
seg18,25.898,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-56.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-81.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-49.0;10:9f:a9:2d:e3:59|-64.0;d4:94:e8:02:27:60|-58.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-30.0;d4:94:e8:1e:8d:30|-40.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-45.0
seg18,25.102,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-56.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-81.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-49.0;10:9f:a9:2d:e3:59|-64.0;d4:94:e8:02:27:60|-58.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-31.0;d4:94:e8:1e:8d:30|-40.0;d4:94:e8:21:3d:70|-84.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-45.0
seg19,20.321,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-68.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-51.0;10:9f:a9:2d:e3:59|-63.0;d4:94:e8:02:27:60|-55.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-31.0;d4:94:e8:1e:8d:30|-49.0;d4:94:e8:21:3d:70|-80.0;00:27:19:2c:10:c4|-70.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-44.0
seg19,19.525,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-68.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-51.0;10:9f:a9:2d:e3:59|-63.0;d4:94:e8:02:27:60|-55.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-36.0;d4:94:e8:1e:8d:30|-49.0;d4:94:e8:21:3d:70|-80.0;00:27:19:2c:10:c4|-70.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-44.0
seg19,18.728,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-68.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-51.0;10:9f:a9:2d:e3:59|-63.0;d4:94:e8:02:27:60|-55.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-39.0;d4:94:e8:1e:8d:30|-49.0;d4:94:e8:21:3d:70|-80.0;00:27:19:2c:10:c4|-70.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-44.0
seg19,17.931,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-68.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-82.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-51.0;10:9f:a9:2d:e3:59|-63.0;d4:94:e8:02:27:60|-55.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:21:6a:a0|-49.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-40.0;d4:94:e8:1e:8d:30|-49.0;d4:94:e8:21:3d:70|-80.0;00:27:19:2c:10:c4|-70.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-44.0
seg20,13.948,10.7,d4:94:e8:1a:0f:e0|-68.0;d4:94:e8:21:6a:b0|-76.0;d4:94:e8:02:27:e0|-46.0;8c:ab:8e:e3:50:90|-75.0;d4:94:e8:21:34:60|-51.0;d4:94:e8:21:34:70|-57.0;10:9f:a9:2d:e3:59|-63.0;d4:94:e8:02:27:60|-68.0;d4:94:e8:21:3f:80|-68.0;d4:94:e8:1e:a2:70|-89.0;d4:94:e8:21:6a:a0|-57.0;d4:94:e8:1e:ac:b0|-91.0;d4:94:e8:21:67:b0|-87.0;d4:94:e8:1e:8d:20|-42.0;d4:94:e8:1e:8d:30|-55.0;ee:26:ca:ac:f2:f8|-86.0;d4:94:e8:21:3d:70|-69.0;00:27:19:2c:10:c4|-66.0;d4:94:e8:1e:8d:00|-42.0;d4:94:e8:1e:8d:10|-42.0;00:24:01:7a:8c:c8|-65.0
