Time(ms),Time(s),acce_x,acce_y,acce_z
1499429597784, 294511.426540067, 0.5628967, 1.4778748, 9.927261
1499429597806, 294511.44668166904, 0.5432892, 1.4386444, 9.789978
1499429597825, 294511.46682327, 0.50405884, 1.5367126, 9.69191
1499429597845, 294511.48699539003, 0.50405884, 1.5367126, 9.69191
1499429597865, 294511.507106474, 0.4648285, 1.5171051, 9.711517
1499429597885, 294511.527248075, 0.50405884, 1.4974823, 9.770355
1499429597906, 294511.547389677, 0.50405884, 1.4582672, 10.005722
1499429597926, 294511.567531278, 0.5628967, 1.5367126, 10.123398
1499429597946, 294511.58767288004, 0.7001953, 1.6347809, 9.946884
1499429597966, 294511.607814481, 0.7001953, 1.7524567, 9.789978
1499429597986, 294511.62795608304, 0.73942566, 1.8112946, 9.672302
1499429598007, 294511.648097684, 0.6021271, 1.7132416, 9.750748
1499429598026, 294511.668239286, 0.38638306, 1.5563354, 9.789978
1499429598046, 294511.688380888, 0.26870728, 1.360199, 9.652679
1499429598067, 294511.708522489, 0.22947693, 1.2621307, 9.750748
1499429598087, 294511.72866409103, 0.19024658, 1.2229004, 9.770355
1499429598107, 294511.748805692, 0.19024658, 1.2621307, 9.69191
1499429598126, 294511.76897781104, 0.22947693, 1.3405762, 9.593842
1499429598148, 294511.789088895, 0.3471527, 1.5171051, 9.417328
1499429598167, 294511.809230497, 0.38638306, 1.6151733, 9.476166
1499429598187, 294511.829402616, 0.4059906, 1.6740112, 9.809586
1499429598208, 294511.84954421804, 0.4648285, 1.7132416, 9.9861145
1499429598227, 294511.869655302, 0.5628967, 1.6936188, 10.02533
1499429598247, 294511.889796903, 0.5628967, 1.6347809, 10.0841675
1499429598267, 294511.90993850504, 0.52368164, 1.6151733, 10.044952
1499429598288, 294511.930080106, 0.4256134, 1.5955505, 9.868423
1499429598309, 294511.95022170804, 0.3667755, 1.575943, 9.750748
1499429598328, 294511.970393827, 0.3667755, 1.575943, 9.652679
1499429598348, 294511.990504911, 0.3667755, 1.5563354, 9.613449
1499429598369, 294512.010646513, 0.32754517, 1.5367126, 9.613449
1499429598389, 294512.030788114, 0.44522095, 1.5955505, 9.711517
1499429598410, 294512.050960233, 0.50405884, 1.6543884, 9.789978
1499429598429, 294512.071071317, 0.50405884, 1.6740112, 9.711517
1499429598449, 294512.09124343604, 0.52368164, 1.6740112, 9.829208
1499429598469, 294512.11135452, 0.52368164, 1.6151733, 9.750748
1499429598490, 294512.131496122, 0.44522095, 1.6151733, 9.868423
1499429598511, 294512.151637724, 0.3471527, 1.5171051, 9.829208
1499429598530, 294512.17180984304, 0.3471527, 1.4778748, 9.868423
1499429598551, 294512.191920927, 0.32754517, 1.4582672, 9.946884
1499429598571, 294512.212062528, 0.3667755, 1.4778748, 9.848816
1499429598590, 294512.23220413004, 0.30792236, 1.575943, 9.711517
1499429598612, 294512.252376249, 0.26870728, 1.575943, 9.574234
1499429598631, 294512.27251785004, 0.22947693, 1.5171051, 9.593842
1499429598651, 294512.292659452, 0.24908447, 1.5955505, 9.750748
1499429598671, 294512.31280105404, 0.26870728, 1.6151733, 9.868423
1499429598691, 294512.332912138, 0.30792236, 1.5955505, 9.888046
1499429598712, 294512.353053739, 0.30792236, 1.5171051, 9.966492
1499429598731, 294512.373225858, 0.32754517, 1.575943, 9.9861145
1499429598751, 294512.39336746, 0.38638306, 1.5955505, 9.907654
1499429598789, 294512.41347854404, 0.38638306, 1.575943, 9.868423
1499429598797, 294512.433620145, 0.38638306, 1.5955505, 9.789978
1499429598813, 294512.453761747, 0.4059906, 1.6347809, 9.73114
1499429598832, 294512.473903349, 0.4256134, 1.6151733, 9.711517
1499429598852, 294512.49404495, 0.50405884, 1.6151733, 9.672302
1499429598872, 294512.514186552, 0.4256134, 1.6151733, 9.711517
1499429598892, 294512.534297636, 0.4059906, 1.5563354, 9.711517
1499429598914, 294512.55446975504, 0.4059906, 1.4778748, 9.613449
1499429598933, 294512.574611356, 0.3471527, 1.4778748, 9.672302
1499429598953, 294512.59475295804, 0.32754517, 1.5171051, 9.711517
1499429598975, 294512.614894559, 0.28831482, 1.4778748, 9.770355
1499429599000, 294512.635036161, 0.3471527, 1.4974823, 9.829208
1499429599014, 294512.655177763, 0.3667755, 1.5563354, 9.829208
1499429599036, 294512.675319364, 0.3667755, 1.6347809, 9.809586
1499429599053, 294512.69546096603, 0.4844513, 1.6936188, 9.770355
1499429599073, 294512.715602567, 0.4844513, 1.7132416, 9.789978
1499429599094, 294512.73574416904, 0.4059906, 1.6347809, 9.829208
1499429599117, 294512.75588577, 0.44522095, 1.6740112, 9.868423
1499429599134, 294512.776027372, 0.58251953, 1.7720795, 9.927261
1499429599155, 294512.796168974, 0.6413574, 1.7328491, 9.9861145
1499429599175, 294512.816310575, 0.5628967, 1.7132416, 10.005722
1499429599195, 294512.836452177, 0.4256134, 1.6347809, 10.02533
1499429599216, 294512.856593778, 0.3471527, 1.5955505, 10.06456
1499429599234, 294512.87673538004, 0.3471527, 1.5563354, 9.966492
1499429599255, 294512.896876981, 0.32754517, 1.5367126, 9.9861145
1499429599276, 294512.91701858304, 0.24908447, 1.5171051, 9.868423
1499429599295, 294512.937160184, 0.15101624, 1.4386444, 9.829208
1499429599315, 294512.957301786, 0.092178345, 1.4386444, 9.770355
1499429599336, 294512.977443388, 0.15101624, 1.4386444, 9.672302
1499429599356, 294512.997584989, 0.17063904, 1.4974823, 9.554611
1499429599375, 294513.01772659103, 0.22947693, 1.5955505, 9.476166
1499429599395, 294513.037837675, 0.3471527, 1.5563354, 9.574234
1499429599416, 294513.05804031104, 0.4059906, 1.5171051, 9.554611
1499429599435, 294513.078151395, 0.4648285, 1.5955505, 9.69191
1499429599456, 294513.098292997, 0.4648285, 1.5367126, 9.770355
1499429599476, 294513.118434599, 0.4059906, 1.575943, 9.672302
1499429599497, 294513.1385762, 0.4256134, 1.575943, 9.652679
1499429599517, 294513.158717802, 0.4059906, 1.575943, 9.711517
1499429599537, 294513.178859403, 0.4256134, 1.6151733, 9.652679
1499429599556, 294513.19900100504, 0.4256134, 1.6740112, 9.515396
1499429599577, 294513.219142606, 0.4059906, 1.7132416, 9.456543
1499429599597, 294513.23925369, 0.4059906, 1.6936188, 9.574234
1499429599618, 294513.259425809, 0.38638306, 1.6936188, 9.672302
1499429599637, 294513.279567411, 0.4256134, 1.6151733, 9.809586
1499429599657, 294513.299709013, 0.4256134, 1.5955505, 9.907654
1499429599678, 294513.319850614, 0.4256134, 1.5171051, 9.868423
1499429599697, 294513.33999221603, 0.4256134, 1.575943, 9.789978
1499429599718, 294513.360133817, 0.4648285, 1.5563354, 9.652679
1499429599738, 294513.38027541904, 0.4844513, 1.6347809, 9.652679
1499429599758, 294513.40041702, 0.4256134, 1.5563354, 9.73114
1499429599779, 294513.42058914003, 0.4648285, 1.5563354, 9.789978
1499429599798, 294513.440700224, 0.44522095, 1.575943, 9.789978
1499429599819, 294513.460841825, 0.5432892, 1.6347809, 9.907654
