Error(m)
0.0
0.042
0.079
0.092
0.147
0.179
0.215
0.242
0.27
0.312
0.356
0.396
0.396
0.507
0.592
0.558
0.514
0.493
0.469
0.43
0.431
0.427
0.378
0.4
0.384
0.42
0.402
0.416
0.392
0.42
0.404
0.432
0.459
0.48
0.515
0.519
0.547
0.591
0.614
0.661
0.683
0.682
0.719
0.744
0.725
0.758
0.759
0.789
0.819
0.872
0.914
0.956
0.988
1.025
1.015
1.047
1.051
1.112
1.096
1.124
1.153
1.2
1.22
1.285
1.327
1.387
1.411
1.444
1.454
1.471
1.502
1.54
1.592
1.637
1.666
1.754
1.814
1.908
2.014
2.414
2.416
2.411
2.468
2.497
2.556
2.576
2.622
2.674
2.685
2.745
2.784
2.825
2.88
2.939
2.998
3.014
3.095
3.146
3.189
3.267
3.321
3.379
3.435
3.482
3.524
3.553
3.596
3.629
3.686
3.737
3.807
3.874
3.911
3.975
4.064
4.101
4.184
4.236
4.307
4.387
4.474
4.523
4.433
3.484
2.691
2.618
2.544
2.482
2.452
2.402
2.311
2.253
2.205
2.148
2.128
2.081
2.035
1.976
1.936
1.924
1.893
1.87
1.853
1.877
1.879
1.911
1.9
1.939
1.954
1.981
1.996
2.053
2.126
2.18
2.19
2.262
2.318
2.401
2.419
2.475
2.549
2.59
2.696
2.776
2.881
2.947
2.996
2.82
2.467
2.384
2.329
2.254
2.204
2.177
2.174
2.155
2.162
2.149
2.175
2.196
2.229
2.298
2.3
2.376
2.401
2.489
2.559
2.649
2.709
2.811
2.884
2.979
3.069
3.175
3.286
3.429
3.547
3.69
3.816
3.99
4.114
4.268
4.376
4.516
4.618
4.724
4.87
5.018
5.145
5.291
5.45
5.623
5.753
5.946
6.096
6.227
6.329
6.5
6.625
6.761
6.931
7.058
7.211
7.37
7.509
7.665
7.791
7.958
8.103
8.276
8.413
8.606
8.758
9.069
9.73
9.756
9.8
9.888
9.957
10.023
10.103
10.181
10.278
10.366
10.458
10.557
10.666
10.748
