userid,floorid,timestamp,gyro_x,gyro_y,gyro_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137599,0.07531738,0.0053253174,-0.04963684
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137619,0.09555054,-0.0021362305,-0.07733154
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137641,0.054016113,-0.0021362305,-0.105026245
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137662,0.020980835,-0.017044067,-0.10823059
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137682,0.006072998,-0.028762817,-0.09223938
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137700,-0.025878906,-0.0021362305,-0.07733154
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137719,-0.029083252,0.02130127,-0.04963684
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137741,0.0082092285,0.040481567,-0.03578186
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137757,0.044418335,0.04899597,-0.052825928
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137778,0.056137085,0.040481567,-0.06774902
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137798,0.02418518,0.055389404,-0.08479309
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137816,-0.0013885498,0.050064087,-0.09118652
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137836,-0.002456665,0.028762817,-0.08905029
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137856,-0.0035095215,0.015975952,-0.07307434
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137878,0.0103302,0.017044067,-0.04537964
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137895,0.0028839111,0.06391907,-0.03366089
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137915,0.005004883,0.078826904,-0.030456543
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137935,0.020980835,0.06071472,-0.027267456
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137956,-0.0035095215,0.076690674,-0.03578186
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137974,-0.07701111,0.08947754,-0.04005432
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998137998,-0.107910156,0.08308411,-0.030456543
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138016,-0.12495422,0.07989502,-0.020874023
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138034,-0.12069702,0.09480286,-0.007019043
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138053,-0.094055176,0.11077881,0.02067566
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138073,-0.04824829,0.0745697,0.04623413
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138094,-0.035476685,0.06071472,0.026000977
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138113,-0.08660889,0.10652161,-0.020874023
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138135,-0.13241577,0.102264404,-0.05496216
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138153,-0.105773926,0.06071472,-0.062423706
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138171,-0.04399109,0.036209106,-0.02406311
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138191,-0.023757935,0.04899597,0.031326294
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138213,-0.025878906,0.0745697,0.04623413
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138232,0.02418518,0.040481567,0.026000977
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138250,0.0763855,0.0053253174,0.007888794
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138270,0.06359863,-0.028762817,0.012145996
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138289,0.0337677,-0.08628845,0.028137207
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138309,0.046554565,-0.1214447,0.049438477
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138330,0.03590393,-0.10758972,0.070739746
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138349,0.0039367676,-0.07777405,0.05155945
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138369,0.0082092285,-0.05859375,-0.0048980713
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138389,0.005004883,-0.021316528,-0.06454468
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138409,-0.051452637,0.034088135,-0.10183716
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138429,-0.10258484,0.052200317,-0.11355591
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138449,-0.10684204,0.040481567,-0.09118652
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138469,-0.09086609,0.017044067,-0.021942139
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138489,-0.07595825,0.013839722,0.04837036
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138509,-0.054641724,0.019165039,0.1144104
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138527,-0.031204224,0.031951904,0.17086792
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138547,0.0082092285,0.027694702,0.1889801
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138567,0.044418335,0.0,0.18791199
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138587,0.052947998,-0.027694702,0.16981506
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138607,0.04762268,-0.052200317,0.15382385
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138627,-0.0045776367,-0.047943115,0.15916443
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138646,-0.08128357,-0.009597778,0.1570282
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138666,-0.09300232,-0.017044067,0.14956665
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138685,-0.061035156,-0.0138549805,0.14956665
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138705,-0.06529236,0.029830933,0.14637756
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138725,-0.07701111,0.029830933,0.13252258
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138745,-0.07914734,-0.01171875,0.10803223
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138764,-0.072753906,-0.018112183,0.09843445
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138784,-0.06636047,-0.007461548,0.08459473
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138803,-0.028015137,-0.004257202,0.059020996
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138824,-0.002456665,0.003189087,0.037719727
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138843,-0.020553589,0.0010681152,0.016418457
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138864,-0.05784607,-0.014923096,-0.019805908
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138882,-0.06529236,-0.010650635,-0.06347656
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138902,-0.031204224,-0.0021362305,-0.08798218
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138921,-0.008834839,-0.014923096,-0.10183716
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138943,-0.021621704,-0.03515625,-0.107162476
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138962,-0.025878906,-0.053268433,-0.12207031
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998138981,-0.016296387,-0.051132202,-0.1444397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139001,-0.002456665,-0.04473877,-0.14976501
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139020,0.0028839111,-0.043685913,-0.14231873
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139040,-0.016296387,-0.053268433,-0.15403748
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139060,-0.054641724,-0.051132202,-0.17108154
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139080,-0.08979797,-0.029830933,-0.17533875
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139100,-0.087677,-0.019180298,-0.16041565
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139121,-0.07595825,-0.043685913,-0.15296936
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139139,-0.07595825,-0.04901123,-0.14550781
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139159,-0.052520752,-0.03515625,-0.11994934
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139178,-0.025878906,-0.043685913,-0.08479309
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1519998139199,-0.0035095215,-0.06285095,-0.05921936
