X(m),Y(m)
1.200, 1.700
1.188, 2.390
1.207, 3.078
1.186, 3.789
1.205, 4.462
1.201, 5.156
1.209, 5.845
1.189, 6.546
1.190, 7.246
1.195, 7.936
1.192, 8.619
1.193, 9.311
1.195, 10.011
1.204, 10.715
1.930, 10.717
2.687, 10.713
3.406, 10.717
4.168, 10.710
4.883, 10.716
5.647, 10.724
6.352, 10.719
7.105, 10.698
7.842, 10.731
8.564, 10.722
9.300, 10.722
10.040, 10.701
10.755, 10.724
11.515, 10.694
12.247, 10.724
12.989, 10.715
13.736, 10.723
14.466, 10.716
15.188, 10.704
15.942, 10.720
16.653, 10.721
17.407, 10.731
18.147, 10.715
18.884, 10.716
19.626, 10.720
20.335, 10.709
21.060, 10.705
21.804, 10.725
22.561, 10.705
23.281, 10.702
24.011, 10.708
24.775, 10.701
25.517, 10.699
26.245, 10.708
26.975, 10.709
27.727, 10.720
28.441, 10.715
29.208, 10.720
29.930, 10.699
30.658, 10.695
31.395, 10.714
32.128, 10.733
32.844, 10.729
33.578, 10.693
34.342, 10.713
35.059, 10.717
35.806, 10.700
36.557, 10.701
37.286, 10.714
38.023, 10.713
38.765, 10.713
39.501, 10.717
40.244, 10.709
40.969, 10.721
41.689, 10.707
42.436, 10.707
43.173, 10.706
43.922, 10.729
44.643, 10.720
45.364, 10.713
46.128, 10.725
46.859, 10.718
47.581, 10.720
48.330, 10.707
49.060, 10.713
49.791, 10.715
49.763, 11.386
49.790, 12.119
49.798, 12.792
49.784, 13.492
49.801, 14.165
49.805, 14.878
49.801, 15.563
49.800, 16.242
49.800, 16.961
49.794, 17.636
49.801, 18.333
49.795, 19.030
49.782, 19.712
49.789, 20.397
49.806, 21.083
49.778, 21.805
49.786, 22.463
49.792, 23.161
49.804, 23.869
49.792, 24.538
49.775, 25.226
49.769, 25.915
49.802, 26.614
49.781, 27.296
49.808, 28.004
49.781, 28.700
49.784, 29.383
49.784, 30.086
49.773, 30.763
49.780, 31.470
49.806, 32.160
49.793, 32.840
49.782, 33.548
49.788, 34.240
49.783, 34.897
49.777, 35.619
49.773, 36.286
49.776, 37.009
49.790, 37.704
49.780, 38.378
49.794, 39.058
49.790, 39.751
49.794, 40.451
49.803, 41.158
49.843, 41.258
49.859, 40.563
49.858, 39.889
49.834, 39.187
49.842, 38.466
49.844, 37.758
49.843, 37.101
49.827, 36.396
49.839, 35.701
49.842, 35.008
49.842, 34.287
49.843, 33.594
49.823, 32.903
49.835, 32.232
49.834, 31.545
49.854, 30.838
49.839, 30.150
49.848, 29.464
49.850, 28.776
49.832, 28.063
49.852, 27.364
49.847, 26.662
49.849, 25.989
49.839, 25.281
49.829, 24.599
49.837, 23.903
49.854, 23.215
49.852, 22.535
49.849, 21.805
49.846, 21.109
49.858, 20.432
49.845, 19.740
49.848, 19.032
49.841, 18.328
49.843, 17.667
49.850, 16.977
49.839, 16.251
49.866, 15.579
49.840, 14.855
49.854, 14.162
49.829, 13.495
49.850, 12.822
49.839, 12.113
49.845, 11.378
49.841, 10.691
49.084, 10.681
48.353, 10.666
47.632, 10.685
46.911, 10.698
46.178, 10.682
45.424, 10.685
44.683, 10.714
43.939, 10.681
43.218, 10.685
42.467, 10.703
41.736, 10.704
41.003, 10.706
40.242, 10.702
39.534, 10.668
38.775, 10.693
38.063, 10.683
37.318, 10.694
36.574, 10.682
35.841, 10.681
35.117, 10.688
34.370, 10.700
33.627, 10.693
32.896, 10.699
32.149, 10.678
31.425, 10.694
30.689, 10.694
29.948, 10.697
29.201, 10.684
28.476, 10.700
27.741, 10.694
26.973, 10.697
26.261, 10.708
25.505, 10.696
24.780, 10.691
24.049, 10.700
23.323, 10.700
22.582, 10.669
21.831, 10.688
21.074, 10.686
20.360, 10.697
19.619, 10.693
18.881, 10.690
18.143, 10.685
17.431, 10.691
16.665, 10.699
15.935, 10.705
15.206, 10.685
14.474, 10.665
13.718, 10.692
12.988, 10.693
12.261, 10.683
11.513, 10.708
10.769, 10.691
10.029, 10.701
9.282, 10.699
8.565, 10.695
7.817, 10.695
7.106, 10.694
6.363, 10.702
5.642, 10.696
4.883, 10.689
4.158, 10.674
3.418, 10.715
2.661, 10.695
1.938, 10.706
1.196, 10.688
1.194, 10.010
1.202, 9.310
1.188, 8.629
1.199, 7.937
1.179, 7.223
1.184, 6.532
1.200, 5.831
1.198, 5.151
1.199, 4.456
1.201, 3.766
1.202, 3.078
1.200, 2.409
1.207, 1.716
