Error(m)
0.0
0.072
0.134
0.208
0.247
0.295
0.301
0.329
0.343
0.36
0.382
0.369
0.244
0.155
0.186
0.206
0.216
0.299
0.323
0.377
0.414
0.467
0.517
0.559
0.601
0.64
0.716
0.758
0.788
0.867
0.914
0.951
1.012
1.101
1.125
1.179
1.224
1.273
1.319
1.368
1.404
1.444
1.471
1.508
1.551
1.58
1.634
1.652
1.715
1.747
1.783
1.815
1.861
1.896
1.936
2.016
2.025
2.072
2.115
2.183
2.186
2.234
2.278
2.329
2.371
2.413
2.468
2.522
2.599
2.633
2.663
2.734
2.784
2.862
2.968
3.369
3.165
0.0
0.016
0.057
0.065
0.129
0.168
0.187
0.227
0.268
0.299
0.305
0.341
0.406
0.473
0.544
0.602
0.67
0.708
0.76
0.791
0.863
0.915
0.94
1.006
1.052
1.091
1.178
1.261
1.363
1.455
1.549
1.643
1.733
1.856
1.951
2.034
2.147
2.232
2.358
2.395
2.088
1.436
1.203
1.096
1.047
1.017
0.976
0.921
0.846
0.775
0.697
0.667
0.628
0.624
0.595
0.598
0.631
0.679
0.727
0.774
0.872
0.938
1.043
1.133
1.226
1.297
1.405
1.515
1.602
1.694
1.802
1.94
2.064
2.169
2.271
2.404
2.527
2.663
2.772
2.885
3.038
3.135
3.264
3.213
2.684
2.843
0.0
0.137
0.3
0.426
0.551
0.726
0.92
1.08
1.29
1.46
1.656
1.811
2.007
2.208
2.391
2.593
2.845
3.054
3.252
3.456
3.649
3.775
3.966
4.144
4.325
4.497
4.687
4.871
5.032
5.194
5.389
5.559
5.765
5.961
6.14
6.371
6.579
6.757
6.923
7.092
7.284
7.467
7.656
7.836
8.009
8.185
8.388
8.576
8.78
8.977
9.2
9.394
9.61
9.808
9.989
10.193
10.395
10.568
10.817
10.978
11.195
11.423
11.894
12.715
0.0
0.184
0.371
0.56
0.755
0.95
1.146
1.335
1.533
1.73
1.929
2.051
