X(m),Y(m)
1.200, 1.700
1.205, 2.452
1.196, 3.188
1.183, 3.958
1.215, 4.701
1.212, 5.449
1.213, 6.208
1.201, 6.954
1.211, 7.706
1.191, 8.454
1.189, 9.214
1.203, 9.959
1.209, 10.697
1.971, 10.700
2.698, 10.699
3.455, 10.688
4.209, 10.693
4.934, 10.676
5.678, 10.678
6.430, 10.704
7.183, 10.701
7.921, 10.704
8.681, 10.689
9.448, 10.691
10.166, 10.698
10.916, 10.669
11.702, 10.700
12.430, 10.690
13.176, 10.705
13.918, 10.689
14.676, 10.684
15.396, 10.692
16.173, 10.672
16.918, 10.686
17.630, 10.708
18.415, 10.728
19.143, 10.697
19.897, 10.683
20.641, 10.711
21.400, 10.679
22.132, 10.709
22.895, 10.721
23.653, 10.688
24.376, 10.697
25.121, 10.694
25.875, 10.702
26.661, 10.701
27.379, 10.690
28.126, 10.713
28.884, 10.678
29.608, 10.687
30.360, 10.680
31.098, 10.703
31.852, 10.686
32.615, 10.699
33.366, 10.680
34.109, 10.699
34.853, 10.709
35.580, 10.706
36.359, 10.705
37.092, 10.690
37.844, 10.710
38.597, 10.691
39.319, 10.703
40.109, 10.704
40.832, 10.702
41.588, 10.672
42.294, 10.687
43.065, 10.699
43.826, 10.697
44.591, 10.679
45.309, 10.704
46.078, 10.689
46.833, 10.706
47.552, 10.695
48.315, 10.714
49.039, 10.691
49.808, 10.678
49.808, 11.387
49.818, 12.067
49.821, 12.764
49.811, 13.461
49.801, 14.146
49.820, 14.831
49.820, 15.511
49.820, 16.232
49.818, 16.895
49.822, 17.593
49.804, 18.288
49.816, 18.996
49.803, 19.700
49.819, 20.355
49.799, 21.072
49.793, 21.747
49.805, 22.461
49.810, 23.153
49.791, 23.850
49.796, 24.528
49.791, 25.210
49.812, 25.909
49.795, 26.565
49.802, 27.272
49.810, 27.984
49.808, 28.669
49.801, 29.385
49.812, 30.052
49.797, 30.769
49.796, 31.447
49.816, 32.149
49.803, 32.845
49.800, 33.535
49.803, 34.219
49.795, 34.919
49.803, 35.584
49.806, 36.304
49.819, 36.998
49.825, 37.697
49.799, 38.374
49.796, 39.092
49.792, 39.760
49.795, 40.455
49.812, 41.144
49.822, 41.144
49.812, 40.428
49.814, 39.695
49.837, 38.975
49.807, 38.246
49.820, 37.527
49.828, 36.779
49.817, 36.062
49.804, 35.323
49.819, 34.632
49.835, 33.889
49.825, 33.162
49.813, 32.446
49.804, 31.700
49.805, 30.970
49.822, 30.269
49.820, 29.569
49.829, 28.824
49.815, 28.090
49.832, 27.363
49.841, 26.659
49.842, 25.916
49.821, 25.183
49.839, 24.472
49.826, 23.761
49.816, 23.031
49.821, 22.284
49.803, 21.584
49.810, 20.853
49.795, 20.126
49.822, 19.399
49.817, 18.667
49.808, 17.959
49.823, 17.224
49.826, 16.496
49.837, 15.783
49.805, 15.038
49.813, 14.344
49.815, 13.606
49.831, 12.869
49.827, 12.142
49.839, 11.430
49.827, 10.701
49.045, 10.693
48.297, 10.710
47.517, 10.698
46.743, 10.693
45.965, 10.701
45.198, 10.693
44.411, 10.693
43.664, 10.715
42.888, 10.717
42.120, 10.687
41.334, 10.698
40.561, 10.685
39.770, 10.699
39.025, 10.683
38.262, 10.679
37.475, 10.697
36.700, 10.709
35.935, 10.708
35.140, 10.697
34.367, 10.700
33.621, 10.703
32.861, 10.704
32.059, 10.720
31.301, 10.703
30.537, 10.697
29.741, 10.705
28.972, 10.726
28.204, 10.698
27.432, 10.691
26.640, 10.722
25.878, 10.698
25.133, 10.704
24.343, 10.705
23.592, 10.705
22.819, 10.688
22.039, 10.704
21.271, 10.697
20.508, 10.697
19.719, 10.684
18.944, 10.700
18.184, 10.691
17.425, 10.691
16.612, 10.709
15.865, 10.700
15.094, 10.691
14.330, 10.705
13.544, 10.701
12.764, 10.694
12.021, 10.721
11.237, 10.711
10.446, 10.682
9.691, 10.704
8.931, 10.708
8.164, 10.693
7.377, 10.688
6.600, 10.685
5.831, 10.684
5.056, 10.692
4.292, 10.706
3.501, 10.703
2.746, 10.696
1.991, 10.681
1.208, 10.698
1.226, 10.005
1.209, 9.323
1.194, 8.610
1.207, 7.943
1.222, 7.248
1.219, 6.530
1.206, 5.849
1.209, 5.155
1.233, 4.487
1.197, 3.763
1.204, 3.101
1.207, 2.403
1.217, 1.713
