userid,floorid,coordx,coordy,timestamp,wifiinfos,orient
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112174441,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-81;d4:94:e8:1e:8d:10|-51;d4:94:e8:1e:8d:30|-59;d4:94:e8:21:34:70|-63;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-57;d4:94:e8:21:6b:30|-60;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-72;d4:94:e8:21:28:70|-59;d4:94:e8:21:67:10|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-70;d4:94:e8:21:0a:b0|-70;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-74;d4:94:e8:21:27:30|-72;d4:94:e8:21:27:50|-71;d4:94:e8:21:27:b0|-80;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;2c:30:33:f4:6f:36|-73;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:6a:a0|-66;d4:94:e8:21:67:b0|-82;00:22:aa:ac:a0:34|-73;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-68;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71,0.1198
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112175016,d4:94:e8:21:3d:60|-43;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-81;d4:94:e8:1e:8d:10|-51;d4:94:e8:1e:8d:30|-59;d4:94:e8:21:34:70|-63;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-57;d4:94:e8:21:6b:30|-60;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-72;d4:94:e8:21:28:70|-59;d4:94:e8:21:67:10|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-70;d4:94:e8:21:0a:b0|-70;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-74;d4:94:e8:21:27:30|-72;d4:94:e8:21:27:50|-71;d4:94:e8:21:27:b0|-80;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-68;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71,0.0971
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112175603,d4:94:e8:21:3d:60|-43;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-81;d4:94:e8:1e:8d:10|-51;d4:94:e8:1e:8d:30|-59;d4:94:e8:21:34:70|-63;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-57;d4:94:e8:21:6b:30|-60;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-72;d4:94:e8:21:28:70|-59;d4:94:e8:21:67:10|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-70;d4:94:e8:21:0a:b0|-70;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-74;d4:94:e8:21:27:30|-72;d4:94:e8:21:27:50|-71;d4:94:e8:21:27:b0|-80;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-68;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71,0.1322
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112176193,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-81;d4:94:e8:1e:8d:10|-51;d4:94:e8:1e:8d:30|-59;d4:94:e8:21:34:70|-63;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-57;d4:94:e8:21:6b:30|-60;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-72;d4:94:e8:21:28:70|-59;d4:94:e8:21:67:10|-64;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-70;d4:94:e8:21:0a:b0|-70;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-74;d4:94:e8:21:27:30|-72;d4:94:e8:21:27:50|-71;d4:94:e8:21:27:b0|-80;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-68;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71,0.1088
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112178944,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-52;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-73;d4:94:e8:21:28:70|-60;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-73;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-73;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-77;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-67;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-74;d4:94:e8:21:67:00|-74,0.1156
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112179530,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-52;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-73;d4:94:e8:21:28:70|-60;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-73;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-73;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-77;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:8d:20|-42;8c:ab:8e:73:33:88|-74;d4:94:e8:1e:a2:60|-51;d4:94:e8:21:28:e0|-59;d4:94:e8:1e:af:30|-89;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-67;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-74;d4:94:e8:21:67:00|-74,0.1124
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112180119,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-52;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-73;d4:94:e8:21:28:70|-60;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-73;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-73;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-77;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:a2:60|-51;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-67;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-74;d4:94:e8:21:67:00|-74,0.1098
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112180693,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-65;00:27:19:2c:10:c4|-61;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-52;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-49;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-63;ee:26:ca:ac:f2:f8|-73;d4:94:e8:21:27:70|-73;d4:94:e8:21:28:70|-60;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-61;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-73;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-73;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-77;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:a2:60|-51;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-67;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-74;d4:94:e8:21:67:00|-74,0.0845
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112183544,d4:94:e8:21:3d:60|-40;00:24:01:7a:8c:c8|-64;00:27:19:2c:10:c4|-64;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-53;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-48;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-64;ee:26:ca:ac:f2:f8|-74;d4:94:e8:21:27:70|-69;d4:94:e8:21:28:70|-61;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-60;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-72;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-72;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:a2:60|-51;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-66;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-70;d4:94:e8:21:67:00|-74;2c:30:33:f4:6f:35|-79;00:22:aa:ac:a0:34|-75;d4:94:e8:19:a6:c0|-68,0.1111
bXNtODk1Mi0xNjA1LUEwMQ==,1305,0.790,10.700,1516112184147,d4:94:e8:21:3d:60|-43;00:24:01:7a:8c:c8|-64;00:27:19:2c:10:c4|-64;8c:ab:8e:e3:50:90|-83;d4:94:e8:1e:8d:10|-53;d4:94:e8:1e:8d:30|-61;d4:94:e8:21:34:70|-71;d4:94:e8:21:3d:70|-48;d4:94:e8:1e:a2:70|-56;d4:94:e8:21:6b:30|-65;ee:26:ca:a8:f2:f8|-64;ee:26:ca:ac:f2:f8|-74;d4:94:e8:21:27:70|-69;d4:94:e8:21:28:70|-61;d4:94:e8:21:67:10|-63;d4:94:e8:21:28:f0|-63;d4:94:e8:21:26:f0|-60;d4:94:e8:21:24:d0|-69;d4:94:e8:21:0a:b0|-72;00:06:f4:af:50:20|-71;d4:94:e8:21:27:90|-72;d4:94:e8:21:27:30|-68;d4:94:e8:21:27:50|-69;d4:94:e8:21:27:b0|-81;d4:94:e8:21:66:d0|-78;d4:94:e8:21:6a:b0|-79;30:fc:68:d1:9a:99|-78;d4:94:e8:1e:8d:00|-38;d4:94:e8:21:67:b0|-82;d4:94:e8:1e:a2:60|-51;bc:46:99:9f:99:c6|-78;d4:94:e8:21:6b:20|-55;00:06:f4:af:50:10|-60;d4:94:e8:21:27:60|-66;e4:c2:d1:f4:57:e0|-70;d4:94:e8:21:28:a0|-73;d4:94:e8:1e:ae:80|-74;d4:94:e8:21:28:50|-87;d4:94:e8:21:26:e0|-60;d4:94:e8:21:66:c0|-63;d4:94:e8:21:27:40|-66;d4:94:e8:21:67:a0|-71;44:6e:e5:df:f1:a2|-66;d4:94:e8:21:0a:a0|-64;d4:94:e8:21:27:a0|-70;d4:94:e8:21:67:00|-74;2c:30:33:f4:6f:35|-79;00:22:aa:ac:a0:34|-75;d4:94:e8:19:a6:c0|-68,0.0990
