userid,floorid,coordx,coordy,timestamp,wifiinfos,orient
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446548816,d4:94:e8:1e:8d:20|-35;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-71;d4:94:e8:1e:ac:a0|-67;00:24:01:7a:8c:c8|-70;d4:94:e8:21:34:60|-50;d4:94:e8:21:6a:a0|-55;d4:94:e8:02:27:60|-61;d4:94:e8:1e:ae:80|-63;cc:af:78:56:cf:d8|-83;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-72;d4:94:e8:21:3f:80|-74;d4:94:e8:21:3d:60|-61;d4:94:e8:1e:af:20|-87;44:6e:e5:df:f1:a2|-85;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-64;d4:94:e8:02:27:a0|-88;bc:46:99:8f:1f:73|-77,4.3976
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446549889,d4:94:e8:1e:8d:20|-35;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-71;d4:94:e8:1e:ac:a0|-63;00:24:01:7a:8c:c8|-70;d4:94:e8:21:34:60|-48;d4:94:e8:21:6a:a0|-48;d4:94:e8:02:27:60|-58;d4:94:e8:1e:ae:80|-59;cc:af:78:56:cf:d8|-83;d4:94:e8:21:6b:20|-78;10:9f:a9:2d:e3:59|-73;d4:94:e8:21:3f:80|-74;44:6e:e5:df:f1:a2|-85;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-64;bc:46:99:8f:1f:73|-77,3.7977
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446550883,d4:94:e8:1e:8d:20|-52;d4:94:e8:1e:8d:00|-42;00:27:19:2c:10:c4|-69;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-68;d4:94:e8:21:34:60|-46;d4:94:e8:21:6a:a0|-53;d4:94:e8:02:27:60|-57;d4:94:e8:1e:ae:80|-62;cc:af:78:56:cf:d8|-83;d4:94:e8:21:6b:20|-78;10:9f:a9:2d:e3:59|-72;d4:94:e8:21:3f:80|-74;44:6e:e5:df:f1:a2|-85;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-64;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84,4.2084
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446551917,d4:94:e8:1e:8d:20|-37;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-71;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-68;d4:94:e8:21:34:60|-46;d4:94:e8:21:6a:a0|-45;d4:94:e8:02:27:60|-57;d4:94:e8:1e:ae:80|-63;cc:af:78:56:cf:d8|-83;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-72;d4:94:e8:21:3f:80|-70;44:6e:e5:df:f1:a2|-91;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-66;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84;d4:94:e8:1e:af:20|-85,4.0722
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446552976,d4:94:e8:1e:8d:20|-34;d4:94:e8:1e:8d:00|-54;00:27:19:2c:10:c4|-72;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-68;d4:94:e8:21:34:60|-46;d4:94:e8:21:6a:a0|-46;d4:94:e8:02:27:60|-57;d4:94:e8:1e:ae:80|-64;cc:af:78:56:cf:d8|-83;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-71;d4:94:e8:21:3f:80|-66;44:6e:e5:df:f1:a2|-91;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-65;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84;d4:94:e8:1e:af:20|-85,4.1140
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446554050,d4:94:e8:1e:8d:20|-33;d4:94:e8:1e:8d:00|-57;00:27:19:2c:10:c4|-72;d4:94:e8:1e:ac:a0|-65;00:24:01:7a:8c:c8|-67;d4:94:e8:21:34:60|-46;d4:94:e8:21:6a:a0|-44;d4:94:e8:02:27:60|-57;d4:94:e8:1e:ae:80|-61;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-72;d4:94:e8:21:3f:80|-68;44:6e:e5:df:f1:a2|-91;ee:26:ca:a8:f2:f8|-85;d4:94:e8:19:a6:c0|-65;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84;d4:94:e8:1e:af:20|-85;08:57:00:5b:58:a2|-89,4.2112
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446555060,d4:94:e8:1e:8d:20|-33;d4:94:e8:1e:8d:00|-44;00:27:19:2c:10:c4|-72;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-69;d4:94:e8:21:34:60|-46;d4:94:e8:21:6a:a0|-45;d4:94:e8:02:27:60|-58;d4:94:e8:1e:ae:80|-61;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-71;d4:94:e8:21:3f:80|-70;44:6e:e5:df:f1:a2|-91;d4:94:e8:19:a6:c0|-65;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84;d4:94:e8:1e:af:20|-85;08:57:00:5b:58:a2|-89;d4:94:e8:1a:0f:e0|-79,4.0941
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446556110,d4:94:e8:1e:8d:20|-33;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-72;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-69;d4:94:e8:21:34:60|-49;d4:94:e8:21:6a:a0|-45;d4:94:e8:02:27:60|-58;d4:94:e8:1e:ae:80|-58;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-73;d4:94:e8:21:3f:80|-70;44:6e:e5:df:f1:a2|-91;d4:94:e8:19:a6:c0|-65;bc:46:99:8f:1f:73|-77;00:9a:cd:a7:7a:dc|-84;d4:94:e8:1e:af:20|-85;08:57:00:5b:58:a2|-89;d4:94:e8:1a:0f:e0|-79;d4:94:e8:21:3d:60|-71,3.7668
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446557237,d4:94:e8:1e:8d:20|-33;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-74;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-70;d4:94:e8:21:34:60|-50;d4:94:e8:21:6a:a0|-46;d4:94:e8:02:27:60|-58;d4:94:e8:1e:ae:80|-59;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-73;d4:94:e8:21:3f:80|-70;44:6e:e5:df:f1:a2|-91;d4:94:e8:19:a6:c0|-65;bc:46:99:8f:1f:73|-78;00:9a:cd:a7:7a:dc|-83;d4:94:e8:1e:af:20|-85;08:57:00:5b:58:a2|-89;d4:94:e8:1a:0f:e0|-78;d4:94:e8:21:3d:60|-71;d4:94:e8:21:0b:40|-89,3.9857
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,17.700,10.700,1516446558337,d4:94:e8:1e:8d:20|-33;d4:94:e8:1e:8d:00|-41;00:27:19:2c:10:c4|-74;d4:94:e8:1e:ac:a0|-64;00:24:01:7a:8c:c8|-67;d4:94:e8:21:34:60|-51;d4:94:e8:21:6a:a0|-46;d4:94:e8:02:27:60|-58;d4:94:e8:1e:ae:80|-59;d4:94:e8:21:6b:20|-79;10:9f:a9:2d:e3:59|-73;d4:94:e8:21:3f:80|-70;d4:94:e8:19:a6:c0|-61;bc:46:99:8f:1f:73|-78;00:9a:cd:a7:7a:dc|-83;08:57:00:5b:58:a2|-89;d4:94:e8:1a:0f:e0|-78;d4:94:e8:21:3d:60|-71;d4:94:e8:21:0b:40|-89;30:b4:9e:57:61:68|-88,4.1630
