X(m),Y(m),EX(m),EY(m)
1.2,2.45,1.276,1.7
1.2,2.45,1.276,1.7
1.2,2.45,1.276,1.7
1.2,7.85,1.114,7.82
1.2,7.85,1.276,7.82
1.2,7.85,1.956,9.62
1.2,6.05,1.438,6.38
1.2,6.05,1.276,5.66
1.2,6.05,1.438,6.38
1.2,4.25,1.6,3.5
1.2,4.25,1.6,3.5
1.2,4.25,1.438,3.86
1.2,4.25,1.114,4.58
1.2,4.25,0.952,3.5
1.2,4.25,0.79,3.5
1.2,7.85,1.438,8.18
1.2,7.85,1.276,7.82
1.2,7.85,1.276,7.82
1.2,2.45,1.114,2.78
1.2,2.45,1.114,2.78
1.2,2.45,0.952,3.14
1.2,6.05,1.276,5.66
1.2,6.05,1.114,6.38
1.2,6.05,1.276,6.74
