Count,Dist
3.0,0.711
4.0,0.71
5.0,0.749
6.0,0.761
7.0,0.754
8.0,0.759
9.0,0.76
10.0,0.768
11.0,0.773
12.0,0.804
13.0,0.823
14.0,0.853
15.0,0.877
16.0,0.891
17.0,0.921
18.0,0.947
19.0,0.972
20.0,0.97
21.0,0.968
22.0,0.966
23.0,0.965
24.0,0.963
25.0,0.962
26.0,0.96
27.0,0.958
28.0,0.956
29.0,0.94
30.0,0.921
31.0,0.921
32.0,0.921
