mac,id
40:b8:9a:ac:bd:60,wap166
2c:30:33:f4:6f:35,wap167
9c:21:6a:7f:bf:7c,wap168
2c:30:33:f4:6f:36,wap169
d4:94:e8:02:27:60,wap170
d4:94:e8:19:a3:e0,wap171
40:b8:9a:11:f9:d5,wap172
30:b4:9e:57:61:68,wap173
7c:e9:d3:5e:b2:63,wap174
d4:94:e8:21:27:70,wap175
d4:94:e8:1e:a5:e0,wap176
94:53:30:90:a7:41,wap177
00:11:32:53:be:f3,wap178
d4:94:e8:1e:a2:70,wap179
d4:94:e8:1e:af:20,wap180
d4:94:e8:1e:88:70,wap181
d4:94:e8:1a:42:e0,wap182
2c:b2:1a:37:6b:2a,wap183
d4:94:e8:21:27:30,wap184
f4:83:cd:5f:3f:97,wap185
d4:94:e8:21:21:c0,wap186
02:1a:11:f5:10:01,wap187
d4:94:e8:02:29:a0,wap188
d4:94:e8:1e:8c:00,wap189
d4:94:e8:21:24:d0,wap190
d4:94:e8:1e:96:e0,wap191
d4:94:e8:21:6b:20,wap192
d4:94:e8:1e:ac:a0,wap193
d4:94:e8:1e:8b:80,wap194
bc:46:99:69:84:c4,wap195
02:ca:fe:ca:ca:30,wap196
d4:94:e8:21:28:f0,wap197
bc:46:99:8f:1f:73,wap198
d4:94:e8:21:26:f0,wap199
d4:94:e8:1e:ae:20,wap200
d4:94:e8:21:67:a0,wap201
e4:c2:d1:f4:57:e0,wap202
d4:94:e8:1e:a2:40,wap203
d4:94:e8:21:67:b0,wap204
d4:94:e8:1e:8d:20,wap205
b8:bc:1b:bc:29:b0,wap206
d4:94:e8:21:66:c0,wap207
d4:94:e8:1e:a5:f0,wap208
d4:94:e8:1e:a2:60,wap209
44:33:4c:20:90:ec,wap210
d4:94:e8:21:34:70,wap211
d4:94:e8:21:0b:60,wap212
bc:46:99:96:25:94,wap213
bc:46:99:9f:99:c6,wap214
d4:94:e8:1e:ad:80,wap215
d4:94:e8:21:28:30,wap216
d4:94:e8:21:27:40,wap217
d4:94:e8:21:23:60,wap218
d4:94:e8:1e:ad:90,wap219
d4:94:e8:21:6a:20,wap220
10:9f:a9:2d:e3:59,wap221
d4:94:e8:21:24:c0,wap222
d4:94:e8:02:28:c0,wap223
00:27:19:2c:10:c4,wap224
d4:94:e8:1e:8b:90,wap225
ee:26:ca:ac:f2:f8,wap226
d4:94:e8:21:66:d0,wap227
d4:94:e8:21:23:a0,wap228
d4:94:e8:1a:3c:60,wap229
d4:94:e8:21:6a:a0,wap230
e0:b9:4d:37:6e:9a,wap231
00:11:f5:f8:86:46,wap232
d4:94:e8:21:28:e0,wap233
f4:ec:38:6d:06:b2,wap234
30:b4:9e:7c:0b:f3,wap235
d4:94:e8:21:3f:80,wap236
d4:94:e8:1e:95:c0,wap237
d4:94:e8:1e:8d:30,wap238
cc:af:78:56:cf:d8,wap239
b0:d5:9d:ae:36:5c,wap240
d4:ee:07:19:5c:d2,wap241
e4:c2:d1:eb:34:e0,wap242
48:7d:2e:d3:d9:50,wap243
f0:b4:29:28:f1:e7,wap244
b6:ae:2b:3c:54:1c,wap245
d4:94:e8:21:23:00,wap246
