Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.865
0.1,0.0,2.91
0.15,0.0,2.99
0.2,0.0,3.137
0.25,0.0,3.386
0.3,0.0,3.534
0.35,0.0,3.653
0.4,0.0,3.738
0.45,0.0,4.019
0.5,0.0,4.574
