Delta_Step,Delta_Heading,Error(m)
0.0,0.0,3.171
0.1,0.0,3.365
0.15,0.0,3.537
0.2,0.0,3.786
0.25,0.0,3.98
0.3,0.0,4.027
0.35,0.0,4.266
0.4,0.0,4.615
0.45,0.0,4.929
0.5,0.0,7.09
