Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.653
0.0,10.0,3.377
0.0,15.0,3.867
0.0,20.0,4.27
0.0,25.0,4.739
0.0,30.0,7.4
0.0,35.0,7.397
0.0,40.0,9.048
0.0,45.0,12.161
0.0,50.0,13.831
