Delta_Step,Delta_Heading,Error(m)
0.0,0.0,3.171
0.0,10.0,3.306
0.0,15.0,3.776
0.0,20.0,4.33
0.0,25.0,5.589
0.0,30.0,6.552
0.0,35.0,7.669
0.0,40.0,9.614
0.0,45.0,11.114
0.0,50.0,13.349
