Delta_Step,Delta_Heading,Error(m)
0.0,0.0,1.03
0.0,10.0,1.102
0.0,15.0,1.266
0.0,20.0,1.549
0.0,25.0,3.209
0.0,30.0,3.384
0.0,35.0,5.885
0.0,40.0,6.422
0.0,45.0,7.403
0.0,50.0,9.866
