Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.326
0.1,0.0,2.389
0.15,0.0,2.63
0.2,0.0,2.625
0.25,0.0,2.998
0.3,0.0,3.534
0.35,0.0,3.584
0.4,0.0,4.062
0.45,0.0,3.887
0.5,0.0,4.746
