Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.865
0.0,10.0,3.138
0.0,15.0,3.495
0.0,20.0,3.952
0.0,25.0,4.284
0.0,30.0,5.628
0.0,35.0,6.411
0.0,40.0,8.321
0.0,45.0,9.452
0.0,50.0,10.742
