Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.653
0.1,0.0,2.515
0.15,0.0,3.089
0.2,0.0,3.127
0.25,0.0,3.588
0.3,0.0,3.894
0.35,0.0,4.174
0.4,0.0,4.266
0.45,0.0,4.576
0.5,0.0,5.33
