Delta_Step,Delta_Heading,Error(m)
0.0,0.0,2.326
0.0,10.0,2.342
0.0,15.0,2.599
0.0,20.0,2.761
0.0,25.0,2.862
0.0,30.0,4.784
0.0,35.0,4.99
0.0,40.0,5.389
0.0,45.0,6.334
0.0,50.0,6.933
