Delta_Step,Delta_Heading,Error(m)
0.0,0.0,1.645
0.0,10.0,1.677
0.0,15.0,1.914
0.0,20.0,2.769
0.0,25.0,3.319
0.0,30.0,4.855
0.0,35.0,4.041
0.0,40.0,5.954
0.0,45.0,6.052
0.0,50.0,7.693
