Delta_Step,Delta_Heading,Error(m)
0.0,0.0,1.875
0.1,0.0,1.936
0.15,0.0,2.13
0.2,0.0,2.341
0.25,0.0,2.405
0.3,0.0,2.867
0.35,0.0,2.889
0.4,0.0,2.849
0.45,0.0,3.532
0.5,0.0,4.112
