timestamp,gyro_x,gyro_y,gyro_z
1498117097307,-0.04170227,0.09194946,0.012664795
1498117097327,-0.08659363,0.103256226,0.011886597
1498117097347,-0.106918335,0.09164429,0.017242432
1498117097366,-0.0868988,0.10722351,0.008224487
1498117097387,-0.07713318,0.08003235,-0.017425537
1498117097407,-0.049179077,0.05834961,-0.019256592
1498117097427,-0.03147888,0.049041748,-0.0068969727
1498117097447,-0.046432495,0.07316589,0.007156372
1498117097467,-0.08232117,0.06523132,0.020141602
1498117097488,-0.055603027,0.02659607,0.02319336
1498117097508,0.011291504,0.03300476,0.008987427
1498117097530,7.4768066E-4,0.05392456,-0.01071167
1498117097549,-0.048110962,0.0667572,-0.04185486
1498117097568,-0.054382324,0.07575989,-0.042770386
1498117097589,-0.022766113,0.047210693,-0.025512695
1498117097609,0.025787354,0.021697998,-0.018951416
1498117097629,0.04977417,0.008575439,-0.0078125
1498117097649,0.051757813,0.019714355,-0.027053833
1498117097669,-0.010406494,0.012542725,-0.031326294
1498117097689,-0.027954102,0.04385376,-0.020324707
1498117097709,-0.033462524,0.08203125,-0.011779785
1498117097730,-0.04032898,0.090423584,-0.027053833
1498117097749,-0.057739258,0.05682373,-0.036514282
1498117097769,-0.05987549,0.026290894,-0.022766113
1498117097789,-0.060791016,0.015136719,-0.013916016
1498117097810,-0.05529785,0.014678955,-0.0035247803
1498117097831,-0.07040405,0.026290894,0.023956299
1498117097850,-0.08843994,-0.012649536,0.030212402
1498117097870,-0.018951416,-0.07939148,0.018157959
1498117097892,0.08534241,-0.09680176,-0.013305664
1498117097911,0.13284302,-0.07527161,-0.023529053
1498117097931,0.08030701,-0.06930542,-0.03666687
1498117097951,0.03831482,-0.04273987,-0.054992676
1498117097971,-0.0021514893,-0.014343262,-0.06706238
1498117097991,-0.045211792,-0.0010528564,-0.053619385
1498117098012,-0.041244507,0.019866943,-0.019561768
1498117098032,-0.028564453,0.05682373,-0.011474609
1498117098052,-0.021697998,0.057281494,0.0012054443
1498117098071,-0.042617798,0.06185913,0.010055542
1498117098092,-0.05101013,0.04446411,0.048843384
1498117098112,-0.02734375,0.033309937,0.08442688
1498117098133,-0.0047454834,0.048583984,0.11558533
1498117098152,-0.0059661865,0.03300476,0.12825012
1498117098173,-0.0035247803,-0.0033416748,0.13131714
1498117098192,0.022888184,-0.007461548,0.13711548
1498117098212,0.055419922,-9.0026855E-4,0.13528442
1498117098233,0.05343628,-0.011581421,0.12245178
1498117098253,0.05419922,-0.038467407,0.09176636
1498117098273,0.035873413,-0.015701294,0.077560425
1498117098293,-0.010238647,-1.373291E-4,0.06060791
1498117098313,-0.035751343,-0.023345947,0.038467407
1498117098334,-0.024139404,-0.018005371,0.0131073
1498117098354,-0.010406494,0.003692627,0.0037994385
1498117098373,-0.019104004,-0.018157959,-0.017578125
1498117098394,-0.019104004,-0.012954712,-0.036209106
1498117098414,-0.034835815,0.0018463135,-0.030715942
1498117098434,-0.06843567,0.012542725,-0.026885986
1498117098454,-0.07408142,0.04170227,-0.020935059
1498117098474,-0.052703857,0.07133484,-0.010253906
1498117098494,-0.023986816,0.092559814,-0.0042877197
1498117098515,-0.045059204,0.06324768,-0.025985718
1498117098536,-0.04673767,0.0023040771,-0.04246521
1498117098555,0.0015106201,0.0067443848,-0.057281494
1498117098575,0.007461548,0.028427124,-0.08018494
1498117098595,-0.0035247803,-0.0028839111,-0.098968506
1498117098615,0.026397705,-0.040756226,-0.11393738
1498117098636,0.03541565,-0.052200317,-0.11607361
1498117098656,0.004714966,-0.040756226,-0.10798645
1498117098676,-0.056518555,-0.024719238,-0.091796875
1498117098696,-0.048416138,-0.028381348,-0.091033936
1498117098716,-0.014831543,-0.03755188,-0.101867676
1498117098737,0.008850098,-0.05189514,-0.0953064
1498117098756,0.015258789,-0.02670288,-0.08721924
1498117098776,0.0028839111,-0.012191772,-0.07865906
1498117098796,-0.003982544,-0.017700195,-0.08905029
1498117098817,0.003036499,-0.01234436,-0.10569763
1498117098838,0.007156372,3.2043457E-4,-0.10508728
1498117098857,1.373291E-4,0.00491333,-0.09561157
1498117098877,-0.02947998,0.0035247803,-0.08843994
1498117098897,-0.028259277,0.0029144287,-0.06567383
1498117098917,0.0065460205,0.003829956,-0.046142578
1498117098938,-0.0061187744,0.010864258,-0.043533325
1498117098958,-0.047348022,0.02659607,-0.021697998
1498117098979,-0.06460571,0.035446167,0.011123657
1498117098999,-0.053466797,0.038650513,0.029907227
1498117099018,-0.03161621,0.025512695,0.029449463
1498117099039,-0.006576538,0.024459839,0.032058716
1498117099060,0.0037994385,0.043548584,0.031448364
1498117099079,-0.010238647,0.046905518,0.021514893
1498117099099,-0.022918701,0.041244507,0.043807983
1498117099119,-0.0021514893,0.040023804,0.05770874
1498117099142,0.016021729,0.039108276,0.0289917
1498117099160,-0.0016937256,0.0388031,0.0146484375
1498117099179,-0.00642395,0.021087646,0.020599365
1498117099200,-4.7302246E-4,1.5258789E-5,0.02609253
1498117099220,-0.04109192,0.00491333,0.03250122
1498117099240,-0.08262634,0.015899658,0.031143188
1498117099260,-0.0743866,0.028579712,0.03388977
1498117099280,-0.05621338,0.0236969,0.032058716
1498117099300,-0.01727295,0.017730713,0.020751953
1498117099320,0.0012054443,0.04324341,-0.002456665
1498117099342,0.0068511963,0.040023804,-0.010559082
1498117099361,0.005630493,0.025985718,-0.021392822
1498117099381,2.89917E-4,0.0140686035,-0.03239441
1498117099401,0.009597778,0.014221191,-0.034835815
1498117099421,-0.022613525,0.028427124,-0.04460144
1498117099442,-0.070877075,0.022781372,-0.05545044
1498117099462,-0.09576416,0.008270264,-0.054992676
1498117099482,-0.093933105,0.02154541,-0.045059204
1498117099502,-0.0856781,0.017120361,-0.03804016
1498117099522,-0.032699585,-0.018005371,-0.03529358
1498117099543,0.016174316,0.009185791,-0.038650513
1498117099562,0.018920898,0.007965088,-0.020477295
1498117099582,-0.0012359619,0.01574707,-0.024291992
1498117099602,-0.023834229,0.03590393,-0.03453064
1498117099623,-0.029937744,-0.0062408447,-0.027359009
