timestamp,acce_x,acce_y,acce_z
1498117097077,0.7590332,2.3800812,9.593842
1498117097107,0.7590332,2.3800812,9.436935
1498117097125,0.73942566,2.399704,9.299637
1498117097144,0.6217346,2.4193115,9.260422
1498117097164,0.6217346,2.399704,9.260422
1498117097185,0.5628967,2.4585419,9.240799
1498117097205,0.5432892,2.4585419,9.280029
1498117097226,0.6217346,2.4193115,9.35849
1498117097247,0.68058777,2.4585419,9.515396
1498117097265,0.7001953,2.3800812,9.535004
1498117097286,0.6217346,2.399704,9.613449
1498117097307,0.6217346,2.4389343,9.574234
1498117097327,0.6021271,2.4585419,9.652679
1498117097347,0.6021271,2.3800812,9.69191
1498117097366,0.6413574,2.340866,9.633072
1498117097387,0.5628967,2.3604736,9.633072
1498117097407,0.50405884,2.3800812,9.593842
1498117097427,0.44522095,2.340866,9.515396
1498117097447,0.4844513,2.2820282,9.574234
1498117097467,0.4648285,2.2820282,9.69191
1498117097488,0.5628967,2.3016357,9.711517
1498117097508,0.5628967,2.340866,9.515396
1498117097529,0.52368164,2.4389343,9.515396
1498117097549,0.5432892,2.4585419,9.574234
1498117097568,0.4059906,2.3604736,9.750748
1498117097589,0.3667755,2.2820282,9.73114
1498117097608,0.30792236,2.2427979,9.69191
1498117097629,0.32754517,2.2427979,9.574234
1498117097649,0.38638306,2.2820282,9.495773
1498117097668,0.38638306,2.3212433,9.515396
1498117097689,0.3667755,2.3212433,9.535004
1498117097709,0.3471527,2.3604736,9.515396
1498117097730,0.38638306,2.3800812,9.515396
1498117097749,0.30792236,2.3212433,9.495773
1498117097769,0.20986938,2.2624054,9.495773
1498117097789,0.17063904,2.223175,9.574234
1498117097809,0.15101624,2.18396,9.593842
1498117097830,0.19024658,2.1054993,9.750748
1498117097850,0.26870728,2.0466614,9.907654
1498117097870,0.44522095,2.1251068,10.005722
1498117097892,0.5432892,2.1643372,9.809586
1498117097910,0.44522095,2.223175,9.593842
1498117097931,0.4059906,2.2427979,9.417328
1498117097951,0.26870728,2.223175,9.338867
1498117097971,0.20986938,2.18396,9.31926
1498117097991,0.15101624,2.1251068,9.476166
1498117098011,0.033340454,2.1643372,9.535004
1498117098031,0.052947998,2.1447296,9.613449
1498117098052,0.052947998,2.1643372,9.554611
1498117098071,0.01373291,2.1447296,9.535004
1498117098091,-0.04510498,2.1251068,9.652679
1498117098112,-0.04510498,2.1251068,9.652679
1498117098133,0.092178345,2.0858917,9.633072
1498117098152,0.19024658,2.0466614,9.652679
1498117098172,0.26870728,2.0270538,9.750748
1498117098192,0.3471527,2.007431,9.770355
1498117098212,0.44522095,2.0858917,9.73114
1498117098233,0.5628967,2.2035675,9.613449
1498117098253,0.58251953,2.2427979,9.574234
1498117098273,0.6021271,2.2624054,9.495773
1498117098293,0.6217346,2.2820282,9.456543
1498117098313,0.68058777,2.2427979,9.515396
1498117098334,0.7001953,2.2624054,9.476166
1498117098353,0.68058777,2.2624054,9.554611
1498117098373,0.6217346,2.3016357,9.554611
1498117098393,0.6217346,2.3212433,9.495773
1498117098414,0.4844513,2.3016357,9.515396
1498117098434,0.44522095,2.2624054,9.593842
1498117098454,0.4256134,2.2035675,9.789978
1498117098474,0.4256134,2.2035675,9.750748
1498117098494,0.4256134,2.2427979,9.593842
1498117098515,0.4844513,2.2035675,9.554611
1498117098535,0.5432892,2.2427979,9.574234
1498117098555,0.6413574,2.2427979,9.613449
1498117098575,0.6217346,2.223175,9.613449
1498117098595,0.6217346,2.2035675,9.554611
1498117098615,0.58251953,2.2624054,9.535004
1498117098635,0.4648285,2.2820282,9.378098
1498117098656,0.44522095,2.2427979,9.436935
1498117098675,0.4059906,2.2427979,9.535004
1498117098696,0.4059906,2.223175,9.652679
1498117098716,0.38638306,2.2427979,9.73114
