Count,Dist(max),Dist(min)
3.0,0.813,0.647
4.0,0.817,0.638
5.0,0.833,0.646
6.0,0.839,0.652
7.0,0.847,0.648
8.0,0.854,0.652
9.0,0.857,0.654
10.0,0.872,0.652
11.0,0.883,0.661
12.0,0.891,0.682
13.0,0.9,0.687
14.0,0.907,0.706
15.0,0.912,0.725
16.0,0.917,0.742
17.0,0.922,0.753
18.0,0.926,0.763
19.0,0.93,0.773
20.0,0.934,0.782
21.0,0.937,0.794
22.0,0.943,0.803
23.0,0.948,0.818
24.0,0.953,0.827
25.0,0.96,0.839
26.0,0.964,0.853
27.0,0.971,0.868
28.0,0.971,0.88
29.0,0.969,0.894
30.0,0.968,0.907
31.0,0.966,0.921
32.0,0.964,0.933
33.0,0.966,0.943
34.0,0.967,0.953
35.0,0.974,0.953
36.0,0.976,0.952
37.0,0.975,0.943
38.0,0.968,0.937
39.0,0.963,0.929
40.0,0.963,0.963
