userid,floorid,timestamp,gyro_x,gyro_y,gyro_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420322,0.036972046,0.08308411,0.05583191
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420356,0.09448242,0.092681885,0.08885193
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420375,0.03590393,0.03515625,-0.0048980713
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420395,-0.005645752,0.069244385,-0.02406311
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420415,-0.014160156,0.10119629,0.027069092
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420436,-0.06956482,0.111846924,0.05155945
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420454,-0.14413452,0.11717224,0.05795288
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420475,-0.14518738,0.11930847,0.035583496
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420495,-0.119628906,0.08734131,-0.014480591
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420514,-0.11323547,0.04260254,-0.02619934
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420542,-0.11643982,0.06071472,-0.016616821
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420553,-0.11216736,0.104385376,-0.02406311
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420573,-0.12602234,0.07989502,-0.03578186
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420593,-0.105773926,0.045806885,-0.034713745
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420612,-0.047195435,0.038345337,-0.014480591
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420632,0.039093018,-0.0063934326,-0.0048980713
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420651,0.06892395,-0.0010681152,0.007888794
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420671,0.011398315,0.053253174,0.029190063
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420693,0.0039367676,0.02130127,0.05369568
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420713,0.06678772,-0.014923096,0.05369568
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420732,0.0806427,-0.059661865,0.05155945
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420751,0.020980835,-0.026641846,0.059020996
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420771,-0.041870117,0.027694702,0.11228943
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420791,-0.037597656,-0.017044067,0.14637756
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420810,7.4768066E-4,-0.015975952,0.15063477
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420829,0.023117065,0.040481567,0.1570282
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420848,0.029510498,0.02130127,0.15170288
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420868,0.0103302,-0.057525635,0.12826538
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420888,0.0018157959,-0.071380615,0.105895996
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420910,0.041229248,-0.030899048,0.11654663
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420929,0.069992065,-0.0063934326,0.11654663
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420947,0.061462402,-0.014923096,0.10696411
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420967,0.06253052,-0.031967163,0.080322266
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067420989,0.07424927,-0.0063934326,0.06967163
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421007,0.04762268,-0.047943115,0.066482544
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421029,0.025253296,-0.061782837,0.052627563
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421046,-0.014160156,-0.06285095,0.05369568
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421065,-0.009902954,-0.07989502,0.024932861
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421086,-0.005645752,-0.034088135,0.0014953613
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421105,-0.017364502,-0.009597778,-6.2561035E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421127,-0.026947021,-0.012786865,-0.003829956
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421146,-0.04824829,-0.036224365,-0.025131226
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421167,-0.04399109,-0.041549683,-0.036849976
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421185,-0.04612732,0.003189087,-0.007019043
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421205,-0.025878906,0.041534424,0.02279663
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421224,0.015655518,0.030883789,0.033462524
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421244,0.018859863,0.007446289,0.027069092
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421264,-0.020553589,0.018112183,0.0025634766
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421283,-0.049316406,0.0063934326,-0.02619934
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421303,-0.033340454,0.003189087,-0.018737793
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421323,-0.017364502,0.012786865,-6.2561035E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421342,-0.045059204,0.028762817,-0.020874023
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421365,-0.094055176,0.019165039,-0.044311523
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421383,-0.08128357,-0.022369385,-0.038986206
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421404,-0.03227234,-0.03729248,-0.028335571
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421423,-0.017364502,-0.009597778,-0.010223389
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421441,-0.040802002,0.0234375,4.272461E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421461,-0.049316406,0.010650635,-0.0027618408
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421481,-0.0365448,-0.022369385,-0.0027618408
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421501,-0.042922974,-0.007461548,4.272461E-4
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421521,-0.04824829,0.03727722,0.0036315918
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421540,-0.017364502,0.031951904,-0.016616821
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421559,0.02204895,0.0063934326,-0.03791809
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421579,0.017791748,-0.015975952,-0.044311523
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421598,-0.0045776367,-0.029830933,-0.046432495
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421619,-0.042922974,-0.03729248,-0.052825928
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421638,-0.039733887,-0.018112183,-0.04750061
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421658,0.009262085,0.004257202,-0.028335571
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421678,0.05506897,0.0053253174,-0.009155273
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421698,0.08383179,-0.022369385,-0.003829956
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421718,0.07531738,-0.0234375,-0.023010254
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421738,0.044418335,-0.0010681152,-0.038986206
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421757,0.005004883,0.01171875,-0.036849976
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421776,-0.0035095215,-0.028762817,-0.032592773
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421797,-0.008834839,-0.059661865,-0.04324341
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1520067421817,-0.016296387,-0.042617798,-0.046432495
