EX(m),EY(m)
49.8,59.15
49.784,59.877
49.783,60.605
49.756,61.332
49.745,62.06
49.704,62.786
49.68,63.514
49.626,64.239
49.599,64.966
49.548,65.692
49.52,66.419
49.498,67.147
49.486,67.874
49.456,68.601
49.419,69.328
49.37,70.054
49.337,70.781
49.29,71.507
49.272,72.235
49.249,72.962
49.227,73.689
49.203,74.416
49.192,75.144
49.153,75.871
49.149,76.598
49.117,77.325
48.875,78.011
48.187,78.251
47.464,78.326
46.736,78.335
46.009,78.372
45.282,78.379
44.554,78.4
43.827,78.381
43.1,78.362
42.373,78.315
41.646,78.295
40.919,78.265
40.191,78.264
39.464,78.254
38.736,78.252
38.009,78.254
37.281,78.267
36.553,78.253
35.826,78.246
35.099,78.212
34.372,78.174
33.646,78.138
32.918,78.11
32.191,78.083
31.464,78.059
30.738,78.013
30.011,77.98
29.284,77.957
28.556,77.932
27.83,77.885
27.104,77.847
26.378,77.79
25.652,77.741
24.926,77.69
24.2,77.642
23.474,77.594
22.747,77.586
22.019,77.559
21.292,77.534
20.566,77.496
19.839,77.456
19.113,77.403
18.387,77.358
17.663,77.285
16.938,77.218
16.215,77.138
15.49,77.079
14.765,77.015
14.039,76.973
13.314,76.907
12.588,76.862
11.865,76.779
11.14,76.714
10.418,76.624
9.694,76.552
8.97,76.476
8.244,76.433
7.519,76.374
6.793,76.318
6.07,76.234
5.348,76.147
4.628,76.04
3.903,75.976
3.178,75.916
2.454,75.845
1.877,75.402
1.768,74.683
1.812,73.956
1.872,73.231
1.955,72.508
2.019,71.783
2.036,71.056
2.055,70.329
2.126,69.604
2.195,68.88
2.29,68.159
2.372,67.436
2.469,66.714
2.556,65.992
2.666,65.273
2.801,64.558
2.949,63.845
3.043,63.124
3.139,62.402
3.228,61.68
3.342,60.962
3.38,60.235
3.461,59.512
3.55,58.79
