X(m),Y(m)
49.800, 59.150
49.806, 59.874
49.783, 60.603
49.810, 61.352
49.805, 62.060
49.791, 62.780
49.810, 63.528
49.796, 64.233
49.793, 64.977
49.819, 65.684
49.804, 66.413
49.804, 67.137
49.786, 67.878
49.797, 68.595
49.791, 69.325
49.797, 70.074
49.802, 70.761
49.804, 71.499
49.783, 72.237
49.800, 72.940
49.794, 73.667
49.810, 74.414
49.802, 75.138
49.795, 75.875
49.817, 76.603
49.800, 77.311
49.792, 78.054
49.031, 78.048
48.282, 78.064
47.510, 78.053
46.745, 78.056
45.987, 78.051
45.255, 78.051
44.479, 78.054
43.719, 78.052
42.938, 78.067
42.202, 78.051
41.459, 78.054
40.680, 78.057
39.914, 78.048
39.165, 78.049
38.405, 78.056
37.650, 78.051
36.886, 78.028
36.136, 78.059
35.363, 78.059
34.626, 78.049
33.837, 78.050
33.075, 78.051
32.324, 78.048
31.577, 78.052
30.811, 78.058
30.050, 78.047
29.285, 78.052
28.544, 78.062
27.767, 78.052
27.029, 78.055
26.259, 78.046
25.495, 78.049
24.734, 78.053
23.954, 78.065
23.214, 78.053
22.476, 78.059
21.711, 78.065
20.937, 78.054
20.166, 78.051
19.420, 78.047
18.653, 78.057
17.908, 78.049
17.135, 78.053
16.391, 78.049
15.616, 78.060
14.865, 78.079
14.094, 78.058
13.352, 78.058
12.597, 78.055
11.834, 78.047
11.065, 78.057
10.308, 78.059
9.567, 78.056
8.771, 78.053
8.035, 78.045
7.293, 78.067
6.518, 78.066
5.762, 78.060
4.965, 78.053
4.234, 78.058
3.484, 78.065
2.700, 78.043
1.957, 78.076
1.205, 78.045
1.216, 77.294
1.206, 76.545
1.212, 75.818
1.216, 75.077
1.204, 74.320
1.211, 73.589
1.206, 72.852
1.218, 72.078
1.198, 71.362
1.215, 70.599
1.201, 69.869
1.211, 69.133
1.202, 68.384
1.214, 67.645
1.208, 66.902
1.196, 66.137
1.198, 65.420
1.211, 64.668
1.213, 63.917
1.216, 63.181
1.209, 62.433
1.206, 61.705
1.204, 60.942
