Error(m)
0.0
0.036
0.058
0.177
0.202
0.255
0.314
0.364
0.406
0.486
0.509
0.55
0.565
0.622
0.661
0.715
0.746
0.799
0.843
0.947
0.999
1.049
1.079
1.127
1.187
1.261
1.662
1.59
1.571
1.521
1.482
1.448
1.444
0.0
0.065
0.151
0.167
0.212
0.298
0.373
0.456
0.561
0.631
0.719
0.857
1.002
1.08
1.194
1.277
1.362
1.436
1.548
1.632
1.695
1.758
1.837
1.907
1.988
2.081
2.192
2.279
2.351
2.431
2.512
2.572
2.683
2.799
2.956
3.081
3.245
3.346
3.487
3.608
3.745
3.846
3.975
4.067
4.206
4.327
4.456
4.607
4.727
4.835
4.957
5.038
5.155
5.263
5.408
5.549
5.754
6.258
6.242
0.0
0.142
0.266
0.423
0.534
0.67
0.778
0.905
0.998
1.131
1.247
1.41
1.521
1.665
1.81
1.944
2.054
2.184
2.281
2.406
2.504
2.574
