X(m),Y(m)
49.800, 59.150
49.783, 59.886
49.811, 60.588
49.810, 61.320
49.800, 62.056
49.803, 62.784
49.808, 63.528
49.794, 64.236
49.790, 64.958
49.783, 65.714
49.802, 66.433
49.817, 67.153
49.803, 67.877
49.800, 68.581
49.800, 69.335
49.798, 70.046
49.796, 70.774
49.796, 71.509
49.806, 72.237
49.809, 72.958
49.802, 73.691
49.805, 74.408
49.790, 75.137
49.792, 75.864
49.792, 76.587
49.804, 77.331
49.810, 78.047
49.079, 78.052
48.338, 78.032
47.562, 78.058
46.832, 78.053
46.078, 78.043
45.327, 78.040
44.571, 78.037
43.853, 78.041
43.057, 78.031
42.331, 78.059
41.596, 78.045
40.863, 78.072
40.083, 78.033
39.332, 78.059
38.606, 78.056
37.855, 78.044
37.089, 78.048
36.343, 78.051
35.597, 78.059
34.838, 78.036
34.110, 78.039
33.346, 78.051
32.592, 78.041
31.857, 78.052
31.119, 78.041
30.340, 78.047
29.641, 78.039
28.906, 78.055
28.110, 78.058
27.377, 78.043
26.643, 78.045
25.869, 78.039
25.145, 78.047
24.389, 78.049
23.631, 78.044
22.884, 78.054
22.135, 78.075
21.389, 78.054
20.653, 78.070
19.886, 78.048
19.127, 78.048
18.391, 78.046
17.674, 78.045
16.902, 78.043
16.165, 78.034
15.434, 78.040
14.657, 78.059
13.917, 78.026
13.146, 78.058
12.413, 78.053
11.666, 78.040
10.909, 78.073
10.180, 78.028
9.446, 78.074
8.679, 78.046
7.945, 78.037
7.195, 78.046
6.442, 78.036
5.665, 78.053
4.934, 78.056
4.184, 78.062
3.431, 78.044
2.711, 78.056
1.944, 78.049
1.211, 78.062
1.201, 77.321
1.203, 76.595
1.225, 75.826
1.202, 75.094
1.207, 74.333
1.226, 73.586
1.208, 72.855
1.217, 72.103
1.221, 71.371
1.207, 70.626
1.208, 69.880
1.206, 69.112
1.211, 68.404
1.198, 67.651
1.223, 66.906
1.196, 66.162
1.214, 65.426
1.197, 64.674
1.206, 63.894
1.224, 63.179
1.208, 62.418
1.216, 61.696
1.216, 60.963
