Error(m)
0.0
0.038
0.044
0.043
0.076
0.073
0.082
0.056
0.059
0.08
0.078
0.085
0.081
0.064
0.096
0.086
0.093
0.107
0.12
0.141
0.168
0.201
0.216
0.245
0.276
0.346
0.64
0.547
0.534
0.473
0.464
0.431
0.404
0.365
0.367
0.299
0.289
0.268
0.258
0.207
0.22
0.249
0.241
0.268
0.264
0.302
0.296
0.324
0.345
0.398
0.489
0.572
0.634
0.627
0.647
0.759
0.782
0.839
0.863
0.902
0.931
0.957
0.978
1.037
1.036
1.085
1.112
1.177
1.206
1.224
1.271
1.317
1.352
1.434
1.441
1.533
1.562
1.591
1.656
1.677
1.752
1.789
1.8
1.853
1.91
2.024
2.083
2.146
2.184
2.259
2.327
2.597
2.474
2.466
2.422
2.428
2.378
2.343
2.345
2.327
2.316
2.303
2.29
2.262
2.266
2.263
2.246
2.253
2.243
2.26
2.239
2.27
2.25
2.245
2.256
