Error(m)
35.179
35.139
35.138
35.117
35.066
35.017
34.953
34.862
34.845
34.794
34.725
34.796
34.983
33.71
33.703
33.699
33.72
33.753
33.778
33.81
33.882
33.905
33.944
33.962
34.03
34.034
34.072
34.118
34.221
34.275
34.351
34.398
34.477
34.577
34.625
34.669
34.68
34.696
34.751
34.829
34.864
34.893
34.938
34.966
35.05
35.097
35.179
35.246
35.277
35.319
35.419
35.48
35.584
35.655
35.725
35.799
35.882
35.929
35.976
36.027
36.057
36.089
36.173
36.208
36.251
36.302
36.355
36.37
36.436
36.453
36.499
36.519
36.589
36.891
36.817
36.751
0.064
0.061
0.137
0.191
0.265
0.287
0.332
0.327
0.409
0.458
0.484
0.549
0.619
0.675
0.695
0.705
0.741
0.758
0.76
0.758
0.753
0.727
0.779
0.783
0.808
0.809
0.805
0.764
0.799
0.786
0.793
0.841
0.897
0.864
0.91
0.94
0.961
1.251
1.766
2.014
1.686
1.694
1.683
1.657
1.638
1.619
1.611
1.585
1.575
1.58
1.551
1.56
1.543
1.514
1.496
1.466
1.449
1.433
1.442
1.44
1.434
1.406
1.407
1.385
1.381
1.385
1.402
1.394
1.389
1.351
1.32
1.305
1.284
1.258
1.241
1.254
1.221
1.205
1.163
1.542
0.839
0.872
0.904
0.941
0.989
1.011
1.058
1.121
1.138
1.213
1.254
1.333
1.398
1.41
1.457
1.501
1.544
1.576
1.638
1.692
1.729
1.783
1.822
1.851
1.906
1.972
2.023
2.036
2.101
2.151
2.174
2.223
2.273
2.302
2.357
2.407
2.444
2.501
2.554
2.596
2.631
2.695
2.751
2.827
2.848
2.93
2.966
3.005
3.06
3.122
3.174
3.23
3.277
3.34
3.365
3.407
3.456
3.474
3.501
3.546
3.509
3.195
0.058
0.086
0.137
0.17
0.226
0.268
0.3
0.365
0.483
0.574
0.617
