Error(m)
37.854
37.794
37.749
37.687
37.644
37.594
37.59
37.56
37.546
37.525
37.497
37.501
37.655
37.817
37.759
37.738
37.693
37.673
37.661
37.691
37.7
37.686
37.671
37.712
37.675
37.685
37.654
37.697
37.706
37.73
37.724
37.743
37.744
37.743
37.754
37.746
37.749
37.746
37.785
37.76
37.749
37.727
37.72
37.705
37.682
37.681
37.642
37.668
37.623
37.638
37.618
37.624
37.59
37.609
37.593
37.58
37.585
37.57
37.594
37.548
37.533
37.555
37.525
37.53
37.528
37.532
37.543
37.584
37.574
37.592
37.561
37.593
37.617
37.636
37.692
37.917
38.079
38.106
38.099
38.095
38.129
38.13
38.127
38.122
38.154
38.151
38.21
38.217
38.205
38.189
38.178
38.155
38.147
38.102
38.1
38.118
38.11
38.115
38.085
38.091
38.095
38.094
38.06
38.053
38.018
37.983
37.956
37.905
37.865
37.816
37.771
37.744
37.694
37.632
37.613
37.563
37.561
37.714
36.988
37.141
37.201
37.221
37.223
37.231
37.266
37.304
37.353
37.413
37.439
37.483
37.505
37.564
37.6
37.633
37.676
37.76
37.817
37.892
37.914
37.984
38.042
38.1
38.126
38.208
38.251
38.317
38.347
38.433
38.481
38.585
38.621
38.692
38.778
38.844
38.928
38.985
39.062
39.145
39.202
39.276
39.206
38.994
38.843
38.724
38.623
38.553
38.463
38.388
38.296
38.169
38.079
37.967
37.88
37.767
37.673
37.555
37.446
37.347
37.239
37.114
36.988
36.917
36.774
36.687
36.63
36.541
36.417
36.334
36.255
36.163
36.069
35.992
35.91
35.81
35.73
35.631
35.551
35.447
35.351
35.271
35.187
35.094
35.021
34.928
34.854
34.765
34.703
34.604
34.547
34.465
34.359
34.287
34.216
34.143
34.061
33.975
33.887
33.819
33.761
33.655
33.611
33.521
33.463
33.382
33.321
33.261
33.382
33.475
33.644
33.823
34.009
34.204
34.384
34.572
34.755
34.944
35.134
35.323
35.442
