userid,floorid,timestamp,gyro_x,gyro_y,gyro_z
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520886,9.918213E-4,-8.392334E-4,-0.00819397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520909,0.004196167,0.027908325,-0.048675537
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520931,-0.03416443,0.037506104,-0.034820557
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520951,-0.035217285,0.021530151,-0.03907776
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520968,-0.025634766,0.034301758,-0.030563354
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242520987,-0.0096588135,0.05241394,-0.027359009
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521007,-0.006454468,0.047088623,-0.014587402
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521029,-0.014984131,0.047088623,-0.00819397
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521047,-0.0021972656,0.055618286,-0.01777649
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521068,0.019104004,0.051345825,-0.027359009
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521087,0.032958984,0.04815674,-0.05293274
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521106,0.030822754,0.04815674,-0.091278076
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521126,0.028686523,0.035369873,-0.10406494
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521147,0.077697754,0.057739258,-0.10939026
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521168,0.093673706,0.09928894,-0.10513306
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521188,0.032958984,0.09182739,-0.100875854
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521208,-0.019241333,0.022583008,-0.098739624
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521225,-0.040542603,-0.011505127,-0.091278076
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521245,-0.051208496,0.02897644,-0.08808899
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521263,-0.07357788,0.10461426,-0.09448242
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521286,-0.049072266,0.109939575,-0.07104492
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521303,-0.0021972656,0.06626892,-0.063583374
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521324,0.0105896,0.04283142,-0.08276367
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521342,0.0137786865,0.04069519,-0.09767151
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521364,0.02230835,0.049224854,-0.077438354
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521382,0.02017212,0.05987549,-0.05079651
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521401,-0.0096588135,0.05029297,-0.06890869
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521425,-0.0054016113,0.026855469,-0.10513306
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521441,0.04147339,0.016204834,-0.11152649
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521461,0.07344055,0.03111267,-0.10513306
bXNtODk1Mi0xNjA1LUEwMQ==,1305,1516242521481,0.065979004,0.032180786,-0.09234619
