Error(m)
0.0
0.994
1.977
2.97
3.951
4.941
5.931
6.908
7.856
8.791
9.734
10.676
11.63
12.637
13.778
14.276
14.51
14.737
15.0
15.314
15.689
16.109
16.588
17.113
17.681
18.284
18.92
19.587
20.281
20.998
21.74
