userid,floorid,timestamp,magn_x,magn_y,magn_z
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184449,14.2,-14.4,-14.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184469,14.2,-13.9,-14.1
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184488,14.2,-13.9,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184508,14.2,-13.9,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184529,14.2,-13.4,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184557,14.2,-13.4,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184577,14.2,-12.8,-13.7
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184597,14.2,-12.4,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184617,14.2,-12.0,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184637,14.2,-12.0,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184656,14.2,-11.5,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184698,14.2,-11.0,-13.3
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184717,14.2,-11.0,-12.9
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184737,14.2,-10.4,-12.9
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184757,14.2,-10.4,-12.9
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184777,14.2,-9.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184797,13.8,-9.9,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184817,13.8,-9.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184837,13.8,-9.5,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184857,13.4,-9.1,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184877,13.4,-8.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184897,13.4,-8.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184917,13.4,-8.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184943,12.9,-8.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184966,12.9,-5.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633184986,12.9,-7.3,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185008,12.5,-7.3,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185029,12.5,-7.3,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185050,12.5,-7.3,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185069,12.1,-7.7,-12.5
bXNtODkxNi1Db29scGFkIDg2NzUtRkhE,1305,1519633185089,12.1,-7.7,-12.5
