Default Wi-Fi: -94.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -94.000000, Top K: 17, Accuracy: 91.539%
Default Wi-Fi: -94.000000, Top K: 19, Accuracy: 91.539%
Default Wi-Fi: -94.000000, Top K: 21, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 23, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 25, Accuracy: 91.359%
Default Wi-Fi: -94.000000, Top K: 27, Accuracy: 91.269%
Default Wi-Fi: -94.000000, Top K: 29, Accuracy: 91.269%
Default Wi-Fi: -94.000000, Top K: 31, Accuracy: 91.179%
Default Wi-Fi: -94.000000, Top K: 33, Accuracy: 91.179%
Default Wi-Fi: -94.000000, Top K: 35, Accuracy: 90.999%
Default Wi-Fi: -94.000000, Top K: 37, Accuracy: 90.999%
Default Wi-Fi: -94.000000, Top K: 39, Accuracy: 90.819%
Default Wi-Fi: -94.000000, Top K: 41, Accuracy: 90.639%
Default Wi-Fi: -95.000000, Top K: 1, Accuracy: 91.179%
Default Wi-Fi: -95.000000, Top K: 3, Accuracy: 91.719%
Default Wi-Fi: -95.000000, Top K: 5, Accuracy: 91.809%
Default Wi-Fi: -95.000000, Top K: 7, Accuracy: 91.629%
Default Wi-Fi: -95.000000, Top K: 9, Accuracy: 91.899%
Default Wi-Fi: -95.000000, Top K: 11, Accuracy: 91.899%
Default Wi-Fi: -95.000000, Top K: 13, Accuracy: 91.539%
Default Wi-Fi: -95.000000, Top K: 15, Accuracy: 91.629%
Default Wi-Fi: -95.000000, Top K: 17, Accuracy: 91.359%
Default Wi-Fi: -95.000000, Top K: 19, Accuracy: 91.359%
Default Wi-Fi: -95.000000, Top K: 21, Accuracy: 91.269%
Default Wi-Fi: -95.000000, Top K: 23, Accuracy: 91.269%
Default Wi-Fi: -95.000000, Top K: 25, Accuracy: 91.269%
Default Wi-Fi: -95.000000, Top K: 27, Accuracy: 91.089%
Default Wi-Fi: -95.000000, Top K: 29, Accuracy: 91.089%
Default Wi-Fi: -95.000000, Top K: 31, Accuracy: 90.999%
Default Wi-Fi: -95.000000, Top K: 33, Accuracy: 90.909%
Default Wi-Fi: -95.000000, Top K: 35, Accuracy: 90.819%
Default Wi-Fi: -95.000000, Top K: 37, Accuracy: 90.819%
Default Wi-Fi: -95.000000, Top K: 39, Accuracy: 90.459%
Default Wi-Fi: -95.000000, Top K: 41, Accuracy: 90.549%
Default Wi-Fi: -96.000000, Top K: 1, Accuracy: 91.089%
Default Wi-Fi: -96.000000, Top K: 3, Accuracy: 91.359%
Default Wi-Fi: -96.000000, Top K: 5, Accuracy: 91.629%
Default Wi-Fi: -96.000000, Top K: 7, Accuracy: 91.629%
Default Wi-Fi: -96.000000, Top K: 9, Accuracy: 91.719%
Default Wi-Fi: -96.000000, Top K: 11, Accuracy: 91.719%
Default Wi-Fi: -96.000000, Top K: 13, Accuracy: 91.449%
Default Wi-Fi: -96.000000, Top K: 15, Accuracy: 91.539%
Default Wi-Fi: -96.000000, Top K: 17, Accuracy: 91.359%
Default Wi-Fi: -96.000000, Top K: 19, Accuracy: 91.269%
Default Wi-Fi: -96.000000, Top K: 21, Accuracy: 91.359%
Default Wi-Fi: -96.000000, Top K: 23, Accuracy: 91.179%
Default Wi-Fi: -96.000000, Top K: 25, Accuracy: 91.179%
Default Wi-Fi: -96.000000, Top K: 27, Accuracy: 90.819%
Default Wi-Fi: -96.000000, Top K: 29, Accuracy: 90.729%
Default Wi-Fi: -96.000000, Top K: 31, Accuracy: 90.729%
Default Wi-Fi: -96.000000, Top K: 33, Accuracy: 90.729%
Default Wi-Fi: -96.000000, Top K: 35, Accuracy: 90.639%
Default Wi-Fi: -96.000000, Top K: 37, Accuracy: 90.819%
Default Wi-Fi: -96.000000, Top K: 39, Accuracy: 90.819%
Default Wi-Fi: -96.000000, Top K: 41, Accuracy: 90.729%
Default Wi-Fi: -97.000000, Top K: 1, Accuracy: 90.999%
Default Wi-Fi: -97.000000, Top K: 3, Accuracy: 91.359%
Default Wi-Fi: -97.000000, Top K: 5, Accuracy: 91.539%
Default Wi-Fi: -97.000000, Top K: 7, Accuracy: 91.719%
Default Wi-Fi: -97.000000, Top K: 9, Accuracy: 91.449%
Default Wi-Fi: -97.000000, Top K: 11, Accuracy: 91.539%
Default Wi-Fi: -97.000000, Top K: 13, Accuracy: 91.269%
Default Wi-Fi: -97.000000, Top K: 15, Accuracy: 91.269%
Default Wi-Fi: -97.000000, Top K: 17, Accuracy: 91.179%
Default Wi-Fi: -97.000000, Top K: 19, Accuracy: 91.089%
Default Wi-Fi: -97.000000, Top K: 21, Accuracy: 91.089%
Default Wi-Fi: -97.000000, Top K: 23, Accuracy: 91.179%
Default Wi-Fi: -97.000000, Top K: 25, Accuracy: 90.909%
Default Wi-Fi: -97.000000, Top K: 27, Accuracy: 90.549%
Default Wi-Fi: -97.000000, Top K: 29, Accuracy: 90.549%
Default Wi-Fi: -97.000000, Top K: 31, Accuracy: 90.549%
Default Wi-Fi: -97.000000, Top K: 33, Accuracy: 90.549%
Default Wi-Fi: -97.000000, Top K: 35, Accuracy: 90.549%
Default Wi-Fi: -97.000000, Top K: 37, Accuracy: 90.459%
Default Wi-Fi: -97.000000, Top K: 39, Accuracy: 90.369%
Default Wi-Fi: -97.000000, Top K: 41, Accuracy: 90.369%
Default Wi-Fi: -98.000000, Top K: 1, Accuracy: 91.089%
Default Wi-Fi: -98.000000, Top K: 3, Accuracy: 91.269%
Default Wi-Fi: -98.000000, Top K: 5, Accuracy: 91.449%
Default Wi-Fi: -98.000000, Top K: 7, Accuracy: 91.719%
Default Wi-Fi: -98.000000, Top K: 9, Accuracy: 91.539%
Default Wi-Fi: -98.000000, Top K: 11, Accuracy: 91.539%
Default Wi-Fi: -98.000000, Top K: 13, Accuracy: 91.089%
Default Wi-Fi: -98.000000, Top K: 15, Accuracy: 91.179%
Default Wi-Fi: -98.000000, Top K: 17, Accuracy: 90.999%
Default Wi-Fi: -98.000000, Top K: 19, Accuracy: 90.999%
Default Wi-Fi: -98.000000, Top K: 21, Accuracy: 90.999%
Default Wi-Fi: -98.000000, Top K: 23, Accuracy: 91.089%
Default Wi-Fi: -98.000000, Top K: 25, Accuracy: 90.909%
Default Wi-Fi: -98.000000, Top K: 27, Accuracy: 90.729%
Default Wi-Fi: -98.000000, Top K: 29, Accuracy: 90.549%
Default Wi-Fi: -98.000000, Top K: 31, Accuracy: 90.729%
Default Wi-Fi: -98.000000, Top K: 33, Accuracy: 90.549%
Default Wi-Fi: -98.000000, Top K: 35, Accuracy: 90.549%
Default Wi-Fi: -98.000000, Top K: 37, Accuracy: 90.279%
Default Wi-Fi: -98.000000, Top K: 39, Accuracy: 90.459%
Default Wi-Fi: -98.000000, Top K: 41, Accuracy: 90.549%
Default Wi-Fi: -99.000000, Top K: 1, Accuracy: 90.909%
Default Wi-Fi: -99.000000, Top K: 3, Accuracy: 90.999%
Default Wi-Fi: -99.000000, Top K: 5, Accuracy: 91.179%
Default Wi-Fi: -99.000000, Top K: 7, Accuracy: 91.539%
Default Wi-Fi: -99.000000, Top K: 9, Accuracy: 91.359%
Default Wi-Fi: -99.000000, Top K: 11, Accuracy: 91.449%
Default Wi-Fi: -99.000000, Top K: 13, Accuracy: 90.999%
Default Wi-Fi: -99.000000, Top K: 15, Accuracy: 91.089%
Default Wi-Fi: -99.000000, Top K: 17, Accuracy: 91.179%
Default Wi-Fi: -99.000000, Top K: 19, Accuracy: 91.179%
Default Wi-Fi: -99.000000, Top K: 21, Accuracy: 91.089%
Default Wi-Fi: -99.000000, Top K: 23, Accuracy: 90.999%
Default Wi-Fi: -99.000000, Top K: 25, Accuracy: 90.819%
Default Wi-Fi: -99.000000, Top K: 27, Accuracy: 90.909%
Default Wi-Fi: -99.000000, Top K: 29, Accuracy: 90.639%
Default Wi-Fi: -99.000000, Top K: 31, Accuracy: 90.369%
Default Wi-Fi: -99.000000, Top K: 33, Accuracy: 90.369%
Default Wi-Fi: -99.000000, Top K: 35, Accuracy: 90.279%
Default Wi-Fi: -99.000000, Top K: 37, Accuracy: 90.369%
Default Wi-Fi: -99.000000, Top K: 39, Accuracy: 90.279%
Default Wi-Fi: -99.000000, Top K: 41, Accuracy: 90.369%
Default Wi-Fi: -100.000000, Top K: 1, Accuracy: 90.909%
Default Wi-Fi: -100.000000, Top K: 3, Accuracy: 90.729%
Default Wi-Fi: -100.000000, Top K: 5, Accuracy: 90.999%
Default Wi-Fi: -100.000000, Top K: 7, Accuracy: 90.909%
Default Wi-Fi: -100.000000, Top K: 9, Accuracy: 91.089%
Default Wi-Fi: -100.000000, Top K: 11, Accuracy: 90.909%
Default Wi-Fi: -100.000000, Top K: 13, Accuracy: 90.819%
Default Wi-Fi: -100.000000, Top K: 15, Accuracy: 90.999%
Default Wi-Fi: -100.000000, Top K: 17, Accuracy: 91.089%
Default Wi-Fi: -100.000000, Top K: 19, Accuracy: 91.179%
Default Wi-Fi: -100.000000, Top K: 21, Accuracy: 90.999%
Default Wi-Fi: -100.000000, Top K: 23, Accuracy: 90.909%
Default Wi-Fi: -100.000000, Top K: 25, Accuracy: 90.549%
Default Wi-Fi: -100.000000, Top K: 27, Accuracy: 90.459%
Default Wi-Fi: -100.000000, Top K: 29, Accuracy: 90.369%
Default Wi-Fi: -100.000000, Top K: 31, Accuracy: 90.189%
Default Wi-Fi: -100.000000, Top K: 33, Accuracy: 90.189%
Default Wi-Fi: -100.000000, Top K: 35, Accuracy: 90.189%
Default Wi-Fi: -100.000000, Top K: 37, Accuracy: 90.099%
Default Wi-Fi: -100.000000, Top K: 39, Accuracy: 90.009%
Default Wi-Fi: -100.000000, Top K: 41, Accuracy: 90.009%
Default Wi-Fi: -101.000000, Top K: 1, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 3, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 5, Accuracy: 90.909%
Default Wi-Fi: -101.000000, Top K: 7, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 9, Accuracy: 90.909%
Default Wi-Fi: -101.000000, Top K: 11, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 13, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 15, Accuracy: 90.639%
Default Wi-Fi: -101.000000, Top K: 17, Accuracy: 91.089%
Default Wi-Fi: -101.000000, Top K: 19, Accuracy: 91.179%
Default Wi-Fi: -101.000000, Top K: 21, Accuracy: 90.819%
Default Wi-Fi: -101.000000, Top K: 23, Accuracy: 90.639%
Default Wi-Fi: -101.000000, Top K: 25, Accuracy: 90.459%
Default Wi-Fi: -101.000000, Top K: 27, Accuracy: 90.549%
Default Wi-Fi: -101.000000, Top K: 29, Accuracy: 90.189%
Default Wi-Fi: -101.000000, Top K: 31, Accuracy: 89.919%
Default Wi-Fi: -101.000000, Top K: 33, Accuracy: 90.189%
Default Wi-Fi: -101.000000, Top K: 35, Accuracy: 90.279%
Default Wi-Fi: -101.000000, Top K: 37, Accuracy: 90.279%
Default Wi-Fi: -101.000000, Top K: 39, Accuracy: 90.009%
Default Wi-Fi: -101.000000, Top K: 41, Accuracy: 90.189%
